"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","Plot","Ring","n_trait","traits","mean_cor","min_cor","max_cor"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.0882692179296772,0.419862839412782,0.962807377905284,0.275030474167397,0.111537111247011,0.928101402969538,0.7084735045138,0.66925313330957,67,2,2,1,NA,NA,NA
5,0.0791098573210117,0.763841856085668,0.861299584221835,0.273723360419217,0.111326379914866,0.840540709728196,0.706644802778442,0.614417811181188,69,2,2,1,NA,NA,NA
5,0.0763489291978781,0.722580809650939,0.856594456786082,0.227357284537664,0.0854533601353149,0.743420135142507,0.61770677183688,0.596728884906996,104,2,2,1,NA,NA,NA
5,0.0875120617783465,0.736461848032221,0.874942225816314,0.231933687931106,0.0805324588292956,0.686580906718934,0.652860531004823,0.574400976880185,107,2,2,1,NA,NA,NA
6,0.0791098573210117,0.626695800115807,0.856951136546522,0.212397670104278,0.0791614404272485,0.602263364001565,0.574134364705575,0.555560578360411,184,4,2,1,NA,NA,NA
6,0.262555196855216,0.760722373205851,0.83083487482797,0.250631713650484,0.0957658996746022,1.17411300174397,0.518820811872325,0.627216003911124,188,4,2,1,NA,NA,NA
5,0.0763489291978781,0.698872637091763,0.807274559659152,0.163070947781087,0.0496611491245129,0.710528491356378,0.585621081787664,0.538279113021918,201,4,2,1,NA,NA,NA
5,0.0882692179296772,0.473405240566774,0.76810377343037,0.177896739912463,0.0526069083669354,0.613890550236763,0.589703862919247,0.550071634268185,222,4,2,1,NA,NA,NA
6,0.0918876764400824,0.579256123002115,0.974488599294086,0.205494682919392,0.0803313112910667,0.597122055882089,0.620658847601601,0.57110236431704,306,6,2,1,NA,NA,NA
3,0.0843052813677709,0.385647206692882,0.978423053283875,0.225693397547335,0.0924895172642425,1.13260855145445,0.653480965981853,0.711075846114307,344,6,2,1,NA,NA,NA
3,0.0125296271616253,0.185922929415218,0.948574881316957,0.142405413086338,0.0545929093475127,0.746797640584975,0.654531988075325,0.650673263859157,355,6,2,1,NA,NA,NA
5,0.0882692179296772,0.696599170309898,0.933486705683225,0.162429902721376,0.0591654212500598,0.650625662127983,0.606929034020229,0.575916714342263,358,6,2,1,NA,NA,NA
4,0.247898010776162,0.253345809210827,0.857461449443871,0.177748312294133,0.054414910003031,1.77007608609537,0.506054286084125,0.7026265331903,67,2,2,2,NA,NA,NA
5,0.212940815699852,0.694617505423494,0.667879308769505,0.193525143362269,0.0662367994603515,1.71004365647599,0.542827096878153,0.696114198175845,69,2,2,2,NA,NA,NA
5,0.202594685458835,0.696395626890473,0.71672992070157,0.172850880118666,0.0536537698101337,1.52563334717418,0.527601854524205,0.658851071211592,104,2,2,2,NA,NA,NA
5,0.155765594170378,0.590325699579295,0.908348744633564,0.164431188524209,0.0396143962174896,0.894372781314677,0.423369585073432,0.512811948722421,107,2,2,2,NA,NA,NA
6,0.212940815699852,0.746073893325913,0.649217889388651,0.146028892464333,0.0404176364139178,1.24068578579684,0.457981952566352,0.591040148250435,184,4,2,2,NA,NA,NA
6,0.212940815699852,0.615736940198738,0.713717956030552,0.215449028009387,0.07154798758346,1.36346267330329,0.529808994908441,0.626479660945411,188,4,2,2,NA,NA,NA
5,0.202594685458835,0.660060486621179,0.683764596493972,0.148806610648763,0.0425884743998896,1.44862499600369,0.568789154001293,0.635206672219822,201,4,2,2,NA,NA,NA
5,0.247898010776162,0.230613436495183,0.737477810331855,0.150408616085417,0.0358027846197373,1.22185794056783,0.492997829543213,0.581973106246547,222,4,2,2,NA,NA,NA
6,0.25824414101718,0.699996368096423,0.790969041145606,0.140548107074393,0.0461649943649551,1.34315984389495,0.490724985665137,0.628806478490333,306,6,2,2,NA,NA,NA
3,0.14661609550628,0.99233550327409,0.992890432089833,0.134613698689087,0.0343986809321536,1.42150001226071,0.491367287824581,0.644746641330413,344,6,2,2,NA,NA,NA
3,0.116722073536123,0.875587565549135,0.969523933963923,0.0883563577330377,0.0218599001662227,1.29363962109063,0.46464144684695,0.59420010146281,355,6,2,2,NA,NA,NA
5,0.247898010776162,0.478519790978746,0.919610517228022,0.119872093039464,0.0361868304474493,1.28184887417741,0.492441120942811,0.598751879565701,358,6,2,2,NA,NA,NA
4,0.239352661667094,0.43931447879183,0.739101375470735,0.223425940239668,0.0742635256454882,1.51891841709744,0.47197614796062,0.6646494577593,67,2,2,3,NA,NA,NA
5,0.2096209072271,0.597098499734495,0.706251691331807,0.253006535398713,0.086474564728523,1.39598261542159,0.465805542331702,0.635413928195995,69,2,2,3,NA,NA,NA
5,0.321422084316561,0.554876364259226,0.563982772553591,0.217216340020746,0.0747864480722118,1.62171061504023,0.542217186794533,0.670575591716185,104,2,2,3,NA,NA,NA
5,0.183207715257634,0.506802338304485,0.874523528466895,0.192536792705866,0.0619864416704523,1.06244239739751,0.459221212073049,0.570662378392127,107,2,2,3,NA,NA,NA
6,0.321422084316561,0.457897746660752,0.58582514244403,0.187493593760541,0.0636629435795229,1.26503486712681,0.470177856491402,0.61397812965303,184,4,2,3,NA,NA,NA
6,0.325154144284495,0.646021963505008,0.693610975954272,0.255937553400179,0.0894524953830489,1.52135021811916,0.549029532457264,0.652056605070155,188,4,2,3,NA,NA,NA
5,0.321422084316561,0.532030285105888,0.544665557743003,0.167236001294946,0.0529342262916417,1.55413307373146,0.570880270975433,0.660933560139668,201,4,2,3,NA,NA,NA
5,0.304543792880254,0.352328408736,0.662517809811827,0.172167548419105,0.0511848623308454,1.41300992060439,0.543621901246088,0.63045686890107,222,4,2,3,NA,NA,NA
6,0.239352661667094,0.682488042814625,0.954891571569384,0.172086451369544,0.0547188925815216,1.00077523840056,0.390100293222503,0.553694812509303,306,6,2,3,NA,NA,NA
3,0.101500339039312,0.226106556554112,0.976101897250587,0.175315862272681,0.0589888615871965,1.35641447251019,0.45255018205,0.644916291533338,344,6,2,3,NA,NA,NA
3,0.166691470252471,0.84067966747673,0.709610994517093,0.115348187029481,0.0393056826701571,1.54993256042456,0.50509951554793,0.683645237157414,355,6,2,3,NA,NA,NA
5,0.304543792880254,0.455729432123265,0.598146159850101,0.138316566464268,0.0444015200496894,1.36888261922882,0.495441296874873,0.619899560296464,358,6,2,3,NA,NA,NA
4,0.315548121751828,0.625467387540674,0.970232005674929,0.243525676105991,0.0855644324556958,2.03994844255122,0.658594406950897,0.747555316471152,67,2,2,4,NA,NA,NA
5,0.262918897436908,0.518867353067901,0.780703231752985,0.251110102440315,0.089352121252229,1.79200719265867,0.611981512093575,0.699089895372655,69,2,2,4,NA,NA,NA
5,0.256880539296254,0.720129277628475,0.878979914702919,0.237545682378331,0.0772727459191171,1.66003683153518,0.610097543948532,0.672618840110064,104,2,2,4,NA,NA,NA
5,0.230100029480034,0.669556502781567,0.905680760805706,0.233458583258072,0.071075879625956,1.2306068688788,0.622486072448944,0.593380626858267,107,2,2,4,NA,NA,NA
6,0.262918897436908,0.578951312296272,0.81199785828523,0.200136594955972,0.0632934622222329,1.37879133896457,0.611638260709422,0.621972495176292,184,4,2,4,NA,NA,NA
6,0.262918897436908,0.702922936675442,0.872943922020205,0.274783700079093,0.0917756433895894,1.51709640387757,0.576289067233787,0.658933726549534,188,4,2,4,NA,NA,NA
5,0.256880539296254,0.724795242011341,0.847660137681274,0.203118064556989,0.0602712859831613,1.57061305748858,0.591415504209348,0.65618154169736,201,4,2,4,NA,NA,NA
5,0.315548121751828,0.428994111371411,0.757938559408857,0.212923493488427,0.0591422904249317,1.45197572899583,0.610734434257671,0.626623367597943,222,4,2,4,NA,NA,NA
6,0.321586479892482,0.561975677207086,0.985942008253305,0.200542232573741,0.0699485088728331,1.5338466545755,0.599720680751873,0.649259821214542,306,6,2,4,NA,NA,NA
3,0.230100029480034,0.336989589279742,0.99580763089785,0.18132234811568,0.0608599592582525,1.91380537826176,0.650907466054037,0.722416625272016,344,6,2,4,NA,NA,NA
3,0.154215647142858,0.226273632675057,0.975349177106786,0.123180840534877,0.0382091858375755,1.4045322385744,0.649558189239272,0.629309512235423,355,6,2,4,NA,NA,NA
