"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","Plot","Ring","n_trait","traits","mean_cor","min_cor","max_cor"
3,0.00896506437851366,0.447987193381052,0.850867415987048,0.215321163779984,0.071454106741783,1.04213312581786,0.484258526500394,0.620460767721988,67,2,2,1,NA,NA,NA
4,0.106036880824039,0.39005517428622,0.986707397178347,0.159925481801874,0.0553369275665857,1.01346734633912,0.403615881194134,0.582448458584116,69,2,2,1,NA,NA,NA
6,0.135621332026215,0.655209560230221,0.96712799944676,0.255830520601861,0.0875873069100828,0.785541546255041,0.394147278905169,0.52229052116918,104,2,2,1,NA,NA,NA
5,0.23535829454301,0.647396919969654,0.976286766135706,0.339376355162718,0.127414139578495,1.7674467411161,0.605277547426564,0.693604189845755,107,2,2,1,NA,NA,NA
6,0.14649017512729,0.577005891733881,0.971221166136687,0.275632472855286,0.0955466955621351,0.853200397334637,0.409726074337428,0.550410866813983,184,4,2,1,NA,NA,NA
5,0.0524768558448332,0.544623596086317,0.941502516816041,0.283143370974438,0.0940451851024757,0.743479203847143,0.383370473088034,0.527719514952696,188,4,2,1,NA,NA,NA
5,0.106036880824039,0.596816917767644,0.976885256795213,0.118559191205566,0.0365738822586806,0.766692818742958,0.364065866816539,0.50214516751608,201,4,2,1,NA,NA,NA
4,0.23535829454301,0.552106745833651,0.928451292388903,0.161151171764152,0.0579647012478652,1.82200588524394,0.469447340480417,0.711667290539662,222,4,2,1,NA,NA,NA
6,0.0589288061855412,0.702905247842285,0.924633893374606,0.297226573975604,0.100319924588368,0.658580203588417,0.411563403674417,0.52627935733342,306,6,2,1,NA,NA,NA
5,0.106036880824039,0.762523492090962,0.940150259366889,0.259979220460831,0.0900220276151251,0.928209654358441,0.441843729260649,0.546454124268622,344,6,2,1,NA,NA,NA
6,0.0598747210533265,0.570204574498246,0.928071863544941,0.22091424720041,0.07537123042623,0.641796362153769,0.387512170367948,0.513187468715994,355,6,2,1,NA,NA,NA
4,0.0149034733702536,0.566596627446693,0.957735458668553,0.149250474739697,0.0506904776754625,0.678820245231782,0.371704690773827,0.54018778746795,358,6,2,1,NA,NA,NA
3,0.0030062754086902,0.339284352163759,0.810727597334163,0.135447144072005,0.0337098047342939,0.867352986139446,0.739337098935847,0.553955901216871,67,2,2,2,NA,NA,NA
4,0.162671408578193,0.35595744993975,0.750798416018512,0.110221281937127,0.0286623677361742,1.08040299604785,0.585798942743883,0.557376366511581,69,2,2,2,NA,NA,NA
6,0.249219606910119,0.541045909284226,0.808096993984524,0.209942522185357,0.0665768897444207,1.47760222308098,0.607772164865133,0.626066410713838,104,2,2,2,NA,NA,NA
5,0.237906250896881,0.290151341145026,0.831788129412442,0.327283355961699,0.133869349608679,2.08625103778523,0.641545246106094,0.802798550632347,107,2,2,2,NA,NA,NA
6,0.258756153032781,0.519539982597849,0.965822682461625,0.212177940812018,0.0616940629193116,1.44674780520988,0.616545975322482,0.624319605077913,184,4,2,2,NA,NA,NA
5,0.185336605435233,0.541698638302847,0.954812026622717,0.249945037897697,0.0778067155770022,1.20023140256376,0.587000624783168,0.598530477687207,188,4,2,2,NA,NA,NA
5,0.249219606910119,0.617528924459865,0.758350159078018,0.0933646170051304,0.030266408186898,1.40271859513199,0.509260186346933,0.613115078718393,201,4,2,2,NA,NA,NA
4,0.22002418881924,0.24025431165918,0.679895031370034,0.101665798872327,0.0366058894702515,1.86975671235387,0.545876096820786,0.706070387447546,222,4,2,2,NA,NA,NA
6,0.225842067853822,0.600881925180853,0.839397420435757,0.256521067229464,0.0826342821121627,1.60090367502817,0.58428082258254,0.661475358530092,306,6,2,2,NA,NA,NA
5,0.249219606910119,0.558857969380583,0.813388675465004,0.228557891637127,0.0755315545682919,1.69186434150024,0.630989818187856,0.673969071666679,344,6,2,2,NA,NA,NA
6,0.224999154062809,0.523112763763554,0.923948203631223,0.165020044844538,0.0480328285254516,1.41738891157391,0.577107484949725,0.629871325017685,355,6,2,2,NA,NA,NA
4,0.00568099303531967,0.535877771518948,0.84784345220203,0.0991011790303921,0.0240358809954208,0.587114620167815,0.64201271011435,0.490197459102635,358,6,2,2,NA,NA,NA
3,0.00671157868985078,0.306826951343337,0.820556769246514,0.167443524685405,0.0508429699683004,1.25617223581363,0.732537484934866,0.602138113760533,67,2,2,3,NA,NA,NA
4,0.126976134481216,0.425156943530782,0.97486157558679,0.132642777581911,0.0386101502171409,0.879017578773401,0.681176191811196,0.520456211065402,69,2,2,3,NA,NA,NA
6,0.293663268043204,0.587549429796112,0.967014290647446,0.236945237850016,0.0733283398977225,1.17326753034551,0.681004033134343,0.575679586714816,104,2,2,3,NA,NA,NA
5,0.193932527480795,0.421668390963259,0.814004934818574,0.210567633256335,0.0646859793120354,1.2270238982531,0.727236917169036,0.605763054685175,107,2,2,3,NA,NA,NA
6,0.26695560681459,0.608263681719359,0.937704383965819,0.232673616299978,0.0702046669371265,1.10914502485267,0.714804357167316,0.581060851260957,184,4,2,3,NA,NA,NA
5,0.272404313503152,0.349315302397617,0.988714033836842,0.239567794818452,0.069601312685623,1.19881311043139,0.601232305692592,0.570083806480109,188,4,2,3,NA,NA,NA
5,0.192065867721375,0.660159389039753,0.979044116215131,0.111562620606558,0.0324693402782505,1.02997914291479,0.629665150463484,0.548024781728394,201,4,2,3,NA,NA,NA
4,0.0390773088348946,0.154624713130732,0.577762701916056,0.110932634987575,0.0336655379662097,1.04857326530039,0.691525188218976,0.552088271781553,222,4,2,3,NA,NA,NA
6,0.26695560681459,0.593563784850314,0.949607228203886,0.293499639922851,0.0908332783867363,1.26613137949054,0.641017108361288,0.600055208971849,306,6,2,3,NA,NA,NA
5,0.192065867721375,0.612625497082677,0.950641599934118,0.244745038201682,0.0765322094550936,1.21698926570705,0.712374940242908,0.581633551969098,344,6,2,3,NA,NA,NA
6,0.282841581057674,0.530868878395781,0.824999750325201,0.210596727412583,0.0646527569714276,1.32052760086061,0.684792752822236,0.598697597903036,355,6,2,3,NA,NA,NA
4,0.164016086063289,0.562426514791008,0.972630016672991,0.134870646492833,0.0394210070322134,1.03735233780815,0.681232706251795,0.547968862543643,358,6,2,3,NA,NA,NA
3,0.00366417499309907,0.359079426715646,0.821922464662106,0.167345331862636,0.0504415752722014,1.04468637613684,0.736687026128956,0.586352828306856,67,2,2,4,NA,NA,NA
4,0.128727835887994,0.435207490961331,0.982776379866133,0.135780609626375,0.0400221211545098,0.925252698001213,0.65798986016752,0.548451827017879,69,2,2,4,NA,NA,NA
6,0.309768345342178,0.627954482237086,0.967750549961942,0.25851844737425,0.0856397146508218,1.36652612267497,0.588451077662465,0.611654147967477,104,2,2,4,NA,NA,NA
5,0.229022700760637,0.730330794524543,0.903905850562244,0.306477953213215,0.106846441777243,1.80255687384246,0.571830937689818,0.688025251243955,107,2,2,4,NA,NA,NA
6,0.241073446611798,0.504741242863751,0.947504952974072,0.249058400491666,0.0777613892788693,1.29194551265726,0.577198980951923,0.609123913444564,184,4,2,4,NA,NA,NA
5,0.132306106805936,0.555359378842737,0.978646095234155,0.257023801015564,0.0763871311243671,0.879259944834596,0.730261708435665,0.52340581715286,188,4,2,4,NA,NA,NA
5,0.224641098069284,0.67555959165548,0.977627102658542,0.118980471264375,0.0380155328723921,1.28897847025951,0.554547790487942,0.608957203941305,201,4,2,4,NA,NA,NA
4,0.20175952290971,0.533668177724818,0.801367250035365,0.129788618422476,0.0417884525863993,1.49404469098702,0.629613337192175,0.648870060748658,222,4,2,4,NA,NA,NA
6,0.235305224723358,0.641367989660927,0.945695798484202,0.29651909948393,0.0997617426816911,1.48797669841072,0.551823007761789,0.647773866679654,306,6,2,4,NA,NA,NA
5,0.224641098069284,0.608245172106,0.949760461573995,0.266948519007732,0.0891327772346996,1.55046825381162,0.593772737073456,0.660738568914899,344,6,2,4,NA,NA,NA
6,0.235305224723358,0.569722048621577,0.958362998428676,0.206118557151406,0.065329198276246,1.3735964874029,0.538429306353114,0.629452463709736,355,6,2,4,NA,NA,NA
4,0.0576164111255438,0.566544910813653,0.960957411791313,0.129377806110781,0.0369265321482585,0.758148229154747,0.658087132638935,0.504068841084218,358,6,2,4,NA,NA,NA
3,0.156996882212522,0.937444858594403,0.788360025218999,0.231184801558254,0.0711809431368405,1.95887152016601,0.675631560204575,0.730699153529144,67,2,2,5,NA,NA,NA
4,0.227150886351554,0.346021771428179,0.99073966667352,0.132631519166538,0.0402715304011547,1.48648886019049,0.546095381689962,0.646845968948763,69,2,2,5,NA,NA,NA
6,0.365779027553195,0.643916580158913,0.968223341312326,0.258355889663596,0.0891174832062502,1.7080185614393,0.581658837768803,0.678404761946211,104,2,2,5,NA,NA,NA
5,0.23587261866904,0.33905306882332,0.918997870713091,0.331744963326916,0.126806935757242,1.95576628960628,0.630838851092505,0.745572781524422,107,2,2,5,NA,NA,NA
6,0.288538720534744,0.448353015913381,0.973108402797672,0.255338286668728,0.0847859274816664,1.58475723629612,0.566589565002802,0.66720240197985,184,4,2,5,NA,NA,NA
5,0.252847905616901,0.546495409631681,0.98083964776776,0.295816014407343,0.106984818285113,1.48156517991291,0.564831727629079,0.6619493506013,188,4,2,5,NA,NA,NA
5,0.288538720534744,0.693065747340754,0.982274628426945,0.116268498719107,0.0381134524061861,1.54768007621323,0.531758417784545,0.641980487991159,201,4,2,5,NA,NA,NA
4,0.216666335418431,0.293585195580312,0.705771565635358,0.133871297597811,0.0443859149990706,1.75031829853317,0.559961848989465,0.680766464152135,222,4,2,5,NA,NA,NA
6,0.216992531220402,0.612300663512722,0.909899597655585,0.297815899393612,0.098583922267157,1.52912415406036,0.578713305542215,0.653688692099377,306,6,2,5,NA,NA,NA
5,0.288538720534744,0.692444278879995,0.969152686255691,0.268233849676457,0.0933769426724237,1.84838221079985,0.585110797700684,0.703703705891397,344,6,2,5,NA,NA,NA
6,0.232747338449176,0.561464478041609,0.789755884998653,0.214790908456773,0.0664763223266586,1.42652505891722,0.610379554294591,0.62326865703457,355,6,2,5,NA,NA,NA
4,0.0892724683155788,0.549794997536608,0.964209865188107,0.123843646257283,0.034175885416012,0.89963224932213,0.6084592479664,0.529457386363703,358,6,2,5,NA,NA,NA
3,0.0254356988093056,0.396610706306448,0.847687453763007,0.151959192655342,0.0353743776771612,1.176028962094,0.736846292655866,0.580652395810356,67,2,2,6,NA,NA,NA
4,0.0378053765324003,0.492268544283596,0.869126784569529,0.104863428898401,0.0253606654455553,0.806193714275892,0.660304191131154,0.50495816430038,69,2,2,6,NA,NA,NA
6,0.260689710252989,0.436257470038465,0.757077176296551,0.202262323706006,0.0588479774167921,1.23663780199763,0.617935529055633,0.58630145464144,104,2,2,6,NA,NA,NA
5,0.23227773948316,0.844297059489527,0.813194623224642,0.30069062803486,0.116178652932291,1.86385334759723,0.576371913276125,0.746368185133972,107,2,2,6,NA,NA,NA
6,0.216505531527212,0.495024572362799,0.716901157890367,0.190852144069603,0.0501503280727286,1.1231998956556,0.658224649608679,0.570170365538377,184,4,2,6,NA,NA,NA
