"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","n_trait","traits","mean_cor","min_cor","max_cor","Plot","Ring"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.00896506437851387,0.447987193381052,0.850867415987048,0.215321163779984,0.071454106741783,1.04405203582086,0.495327437597305,0.627198498493988,2,1,NA,NA,NA,64,2
4,0.106036880824039,0.39005517428622,0.986707397178347,0.159925481801873,0.0553369275665857,1.01412273645541,0.404344813229246,0.57842176643232,2,1,NA,NA,NA,108,2
6,0.135621332026215,0.655209560230221,0.96712799944676,0.255830520601861,0.0875873069100828,0.789533840524556,0.386010044810854,0.532477713124564,2,1,NA,NA,NA,110,2
5,0.23535829454301,0.647396919969654,0.976286766135706,0.339376355162718,0.127414139578495,1.76890219586164,0.600372313374812,0.692268947901106,2,1,NA,NA,NA,118,2
6,0.146490175127291,0.577005891733881,0.971221166136687,0.275632472855286,0.0955466955621351,0.849944708526694,0.400607840479766,0.548254645350493,2,1,NA,NA,NA,205,4
5,0.0524768558448333,0.544623596086317,0.94150251681604,0.283143370974437,0.0940451851024757,0.741983165497753,0.387750407414047,0.531164776468029,2,1,NA,NA,NA,213,4
5,0.106036880824039,0.596816917767644,0.976885256795213,0.118559191205565,0.0365738822586806,0.766526173222005,0.356887281360254,0.504365873308964,2,1,NA,NA,NA,234,4
4,0.23535829454301,0.552106745833651,0.928451292388901,0.161151171764152,0.0579647012478652,1.8303015143879,0.470940810285553,0.718082433219523,2,1,NA,NA,NA,236,4
6,0.0589288061855413,0.702905247842285,0.924633893374606,0.297226573975604,0.100319924588368,0.660675058414047,0.428249054830492,0.531517709520733,2,1,NA,NA,NA,307,6
5,0.106036880824039,0.762523492090962,0.940150259366889,0.259979220460831,0.0900220276151251,0.930016065747734,0.431229316367302,0.558089510913297,2,1,NA,NA,NA,311,6
6,0.0598747210533265,0.570204574498246,0.928071863544941,0.22091424720041,0.07537123042623,0.635972121961844,0.404093119395449,0.53078511692021,2,1,NA,NA,NA,321,6
4,0.0149034733702536,0.566596627446693,0.957735458668553,0.149250474739697,0.0506904776754625,0.69492422430232,0.388960170462953,0.539153298104433,2,1,NA,NA,NA,354,6
3,0.00300627540869019,0.339284352163759,0.810727597334163,0.135447144072004,0.0337098047342939,0.85647003755031,0.741425488176516,0.561761763376336,2,2,NA,NA,NA,64,2
4,0.162671408578193,0.35595744993975,0.750798416018512,0.110221281937127,0.0286623677361742,1.07648209210839,0.594908080678674,0.567811084005268,2,2,NA,NA,NA,108,2
6,0.249219606910119,0.541045909284226,0.808096993984524,0.209942522185357,0.0665768897444207,1.48823681802272,0.610936692502984,0.64228358492561,2,2,NA,NA,NA,110,2
5,0.23790625089688,0.290151341145026,0.831788129412442,0.327283355961699,0.133869349608679,2.09784922039799,0.68486414255763,0.800010988511888,2,2,NA,NA,NA,118,2
6,0.258756153032781,0.519539982597849,0.965822682461625,0.212177940812018,0.0616940629193116,1.45125869302408,0.621894364082154,0.635841763929669,2,2,NA,NA,NA,205,4
5,0.185336605435233,0.541698638302847,0.954812026622717,0.249945037897697,0.0778067155770022,1.19149260260365,0.641185711845591,0.605519203678352,2,2,NA,NA,NA,213,4
5,0.249219606910119,0.617528924459865,0.758350159078017,0.0933646170051305,0.030266408186898,1.40489642350471,0.532477620240523,0.618344965141753,2,2,NA,NA,NA,234,4
4,0.22002418881924,0.24025431165918,0.679895031370034,0.101665798872327,0.0366058894702515,1.86684793990034,0.542780485588132,0.706481577590791,2,2,NA,NA,NA,236,4
6,0.225842067853822,0.600881925180853,0.839397420435756,0.256521067229464,0.0826342821121628,1.6036519527626,0.614201582247442,0.670754697624133,2,2,NA,NA,NA,307,6
5,0.249219606910119,0.558857969380583,0.813388675465004,0.228557891637127,0.0755315545682919,1.69180986322034,0.639000873745673,0.685564841292501,2,2,NA,NA,NA,311,6
6,0.224999154062809,0.523112763763554,0.923948203631223,0.165020044844538,0.0480328285254516,1.43723892551222,0.589239439370293,0.629124151079199,2,2,NA,NA,NA,321,6
4,0.00568099303531971,0.535877771518948,0.847843452202029,0.0991011790303921,0.0240358809954208,0.587008323183277,0.642375508316064,0.485803977538378,2,2,NA,NA,NA,354,6
3,0.00671157868985073,0.306826951343337,0.820556769246515,0.167443524685405,0.0508429699683004,1.26069601599422,0.739435774131537,0.603948434624724,2,3,NA,NA,NA,64,2
4,0.126976134481216,0.425156943530782,0.97486157558679,0.132642777581911,0.0386101502171409,0.887176314042432,0.68794781920798,0.532579479998971,2,3,NA,NA,NA,108,2
6,0.293663268043204,0.587549429796112,0.967014290647446,0.236945237850016,0.0733283398977225,1.17292745354675,0.715991499613986,0.576401365555955,2,3,NA,NA,NA,110,2
5,0.193932527480795,0.421668390963259,0.814004934818574,0.210567633256335,0.0646859793120354,1.22282173142682,0.76499351228673,0.59154681095775,2,3,NA,NA,NA,118,2
6,0.26695560681459,0.608263681719359,0.937704383965819,0.232673616299979,0.0702046669371265,1.09786611845869,0.757841506010488,0.565731281824667,2,3,NA,NA,NA,205,4
5,0.272404313503152,0.349315302397617,0.988714033836842,0.239567794818452,0.069601312685623,1.19634246144894,0.750772085343058,0.569210213806171,2,3,NA,NA,NA,213,4
5,0.192065867721375,0.660159389039753,0.979044116215132,0.111562620606558,0.0324693402782505,1.01517430090218,0.620804595796589,0.53096007725632,2,3,NA,NA,NA,234,4
4,0.0390773088348947,0.154624713130732,0.577762701916055,0.110932634987575,0.0336655379662097,1.04530855602869,0.702095910605422,0.54704169334668,2,3,NA,NA,NA,236,4
6,0.26695560681459,0.593563784850314,0.949607228203885,0.293499639922852,0.0908332783867363,1.26758330020399,0.689521936899085,0.594285177017921,2,3,NA,NA,NA,307,6
5,0.192065867721375,0.612625497082677,0.950641599934118,0.244745038201682,0.0765322094550937,1.21684448443222,0.716953411853725,0.582641350087401,2,3,NA,NA,NA,311,6
6,0.282841581057674,0.530868878395781,0.8249997503252,0.210596727412583,0.0646527569714277,1.32959934684664,0.771597754814555,0.609572903151094,2,3,NA,NA,NA,321,6
4,0.164016086063289,0.562426514791008,0.972630016672991,0.134870646492833,0.0394210070322134,1.02500352683948,0.696596418298471,0.542548294619879,2,3,NA,NA,NA,354,6
3,0.00366417499309903,0.359079426715646,0.821922464662105,0.167345331862636,0.0504415752722014,1.04398278799667,0.468016943215961,0.588202943649775,2,4,NA,NA,NA,64,2
4,0.128727835887994,0.435207490961331,0.982776379866133,0.135780609626375,0.0400221211545098,0.921158220126071,0.413366860543878,0.543956121820658,2,4,NA,NA,NA,108,2
6,0.309768345342178,0.627954482237086,0.967750549961942,0.25851844737425,0.0856397146508218,1.35477825374351,0.525326596203908,0.615556108960202,2,4,NA,NA,NA,110,2
5,0.229022700760637,0.730330794524543,0.903905850562244,0.306477953213216,0.106846441777243,1.79992495478717,0.608842367534138,0.697437745310372,2,4,NA,NA,NA,118,2
6,0.241073446611797,0.504741242863751,0.947504952974073,0.249058400491666,0.0777613892788693,1.27951015683714,0.448842124331227,0.604466553676542,2,4,NA,NA,NA,205,4
5,0.132306106805936,0.555359378842737,0.978646095234155,0.257023801015563,0.0763871311243671,0.880457304688044,0.415765531679116,0.52020322236378,2,4,NA,NA,NA,213,4
5,0.224641098069284,0.67555959165548,0.977627102658542,0.118980471264375,0.0380155328723921,1.28830349914262,0.431658344287562,0.590963949934332,2,4,NA,NA,NA,234,4
4,0.20175952290971,0.533668177724818,0.801367250035366,0.129788618422476,0.0417884525863993,1.51322510708269,0.507475819139039,0.65735878584096,2,4,NA,NA,NA,236,4
6,0.235305224723358,0.641367989660927,0.945695798484202,0.29651909948393,0.0997617426816911,1.49706068959348,0.55934104951093,0.638920798244328,2,4,NA,NA,NA,307,6
5,0.224641098069284,0.608245172106,0.949760461573995,0.266948519007732,0.0891327772346996,1.53066346138036,0.551637281136443,0.642028629739524,2,4,NA,NA,NA,311,6
