"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","n_trait","traits","mean_cor","min_cor","max_cor","Plot","Ring"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2.10608978358465,0.433855360646867,0.957899862846447,1.24192317218334,2.26439885891873,19.5949396493305,0.749381588706048,2.96979908735103,2,1,NA,NA,NA,64,2
5,1.91066397311408,0.629877802390728,0.879847284138124,1.28798473239096,2.32232989323383,17.4125220649033,0.720307946919248,2.74891672900565,2,1,NA,NA,NA,108,2
5,1.91066397311408,0.624870230150236,0.845716640687824,1.03900842131373,1.74061603132339,15.6310061555701,0.648081469220783,2.63978128601785,2,1,NA,NA,NA,110,2
5,2.02723625663526,0.494527541021073,0.859066476017928,1.054252343159,1.65786030095092,14.4438757260284,0.684301292089247,2.47851993429909,2,1,NA,NA,NA,118,2
6,1.91066397311408,0.643616294090444,0.877175034109317,0.968103402537093,1.61184503909105,12.5897086003441,0.604207408983533,2.39206318076937,2,1,NA,NA,NA,205,4
6,4.60760339810798,0.58362769351454,0.872629232537652,1.15374732047251,2.01688052902452,23.1073468966395,0.563848347311322,2.80349682570002,2,1,NA,NA,NA,213,4
5,1.91066397311408,0.584010324604605,0.797807570989533,0.77154850295604,1.04942788845926,14.7587871361885,0.607292875721491,2.38617697074138,2,1,NA,NA,NA,234,4
5,2.10608978358465,0.350202585175207,0.748124751245234,0.806965634259915,1.0742039312813,12.9870207288453,0.621452850942476,2.37826368247407,2,1,NA,NA,NA,236,4
6,2.10608978358465,0.617548218077953,0.971147512280808,0.935777361889935,1.641364178117,12.6063364825766,0.668720560357063,2.50392611940155,2,1,NA,NA,NA,307,6
3,1.94911769970153,0.389218757082908,0.980015164257301,1.01270159651635,1.86597454207,24.1359988188977,0.701193910671731,3.10456023815318,2,1,NA,NA,NA,311,6
3,0.716500717004542,0.139636326232912,0.948457180447789,0.637094729104674,1.0941680753062,17.457256281184,0.645911946462087,2.8992603823315,2,1,NA,NA,NA,321,6
5,2.10608978358465,0.669981874173654,0.928563478636575,0.742728039298892,1.20977634872239,13.5237897644064,0.643105579603128,2.45712005199937,2,1,NA,NA,NA,354,6
4,4.85345263740702,0.51306499698041,0.854034918103835,1.10459707758167,1.85859512677887,38.8260053429073,0.522019660638625,3.25517089258023,2,2,NA,NA,NA,64,2
5,5.4362850345194,0.60068281677479,0.683433119388781,1.25523002923947,2.27683315679203,37.3559121155475,0.537387287520737,3.23422479096871,2,2,NA,NA,NA,108,2
5,4.87295172744665,0.677369582592637,0.633866817464542,1.06221399622566,1.77177018293184,33.370026598394,0.530988287395634,2.99338242979624,2,2,NA,NA,NA,110,2
5,2.33349347292517,0.489702879032082,0.880047190977644,0.88906667895862,1.15814250970327,17.2025769940794,0.467639502519581,2.25650826308155,2,2,NA,NA,NA,118,2
6,5.4362850345194,0.730046707778286,0.672159928458237,0.87390056269921,1.3339921890013,26.8941734842134,0.479476161831296,2.74980909920399,2,2,NA,NA,NA,205,4
6,5.4362850345194,0.527651482853468,0.70753506341389,1.27555727539399,2.2741611312694,30.0715662263053,0.506946612546799,2.9804412610486,2,2,NA,NA,NA,213,4
5,4.87295172744665,0.635890367956198,0.593197450012702,0.923224906204972,1.46207325846422,31.7544674405595,0.565132800364043,3.05181114362113,2,2,NA,NA,NA,234,4
5,4.85345263740702,0.3902178452319,0.707627718968127,0.820419325544214,1.07665141946442,26.8481173466694,0.531073184779167,2.70013720858469,2,2,NA,NA,NA,236,4
6,5.4362850345194,0.68996536515477,0.722518143929545,0.92744981910142,1.61163638299059,29.0477999528727,0.512228359339542,2.89057402271374,2,2,NA,NA,NA,307,6
3,2.12972112186384,0.256054119455935,0.986947998191898,0.79999814754178,1.19305308773068,26.1340637497822,0.508212571741691,2.7854595670188,2,2,NA,NA,NA,311,6
3,1.63220865152753,0.140786916907009,0.968069503584063,0.520337238161453,0.731972904730906,22.3447358208482,0.504219759973978,2.58331870068837,2,2,NA,NA,NA,321,6
5,4.85345263740702,0.501621808971071,0.898812460544522,0.766815310112379,1.2405774377459,28.2790466094751,0.524972983686083,2.80110942201926,2,2,NA,NA,NA,354,6
4,4.27885813738336,0.41153021544082,0.804672753802653,1.10144714666526,1.78201177096463,30.9806109519864,0.491825432683784,2.99166241832776,2,3,NA,NA,NA,64,2
5,4.35946877104654,0.518311686691672,0.725771985200865,1.27055627135928,2.12383814827127,29.140832669312,0.488789775554745,2.88390169382333,2,3,NA,NA,NA,108,2
5,5.95041119628799,0.544120346861473,0.553820020432702,1.09043412069092,1.84423794937384,34.2518909059849,0.55513023507456,3.09303827752986,2,3,NA,NA,NA,110,2
5,3.39342603933718,0.386589383076574,0.831357778441988,0.934772409867104,1.42410477387657,22.5781268756383,0.438602900599183,2.55248634414199,2,3,NA,NA,NA,118,2
6,5.95041119628799,0.449003232560004,0.579553387274672,0.920019802301348,1.51487550305913,26.6378951852848,0.480196411361583,2.75666182803462,2,3,NA,NA,NA,205,4
6,6.08061786401566,0.501684059158181,0.670942923984453,1.30849810991074,2.28164048337238,32.1148319654518,0.569320470734133,2.99811508625743,2,3,NA,NA,NA,213,4
5,5.95041119628799,0.391296893015715,0.538581464071971,0.869721544631281,1.41229207659571,32.7838339505389,0.591709839782803,2.98239255012378,2,3,NA,NA,NA,234,4
5,5.745520426048,0.30145410449552,0.679518011560505,0.850849253531503,1.24920595012692,29.7435957656792,0.543934254288139,2.84774800171076,2,3,NA,NA,NA,236,4
6,4.27885813738336,0.670366327588944,0.976047901863123,0.873158068521787,1.36726293294428,20.524624612945,0.413460200781762,2.44082638889651,2,3,NA,NA,NA,307,6
3,1.1867195219987,0.163334025197676,0.97926017378631,0.84347076413516,1.3596482301303,28.2161422220564,0.458169508565063,2.87561640662169,2,3,NA,NA,NA,311,6
3,2.65338181066335,0.67722561515152,0.678931899146815,0.558206026295043,0.904507370810967,33.6580436518746,0.504204836771345,3.07671818841714,2,3,NA,NA,NA,321,6
5,5.745520426048,0.459697781373612,0.613926668518245,0.703667266256459,1.1155275200855,28.8911231848325,0.516807546211169,2.85801434550449,2,3,NA,NA,NA,354,6
4,5.22873698476965,0.70219411470504,0.969592560440327,1.24224711429203,2.16424179290181,41.5578415737182,0.625483608636841,3.3791561960348,2,4,NA,NA,NA,64,2
5,5.36465014954307,0.502633087734039,0.798790462590167,1.31770628892956,2.34519566654035,36.4109457285524,0.577549231898224,3.15438042472635,2,4,NA,NA,NA,108,2
5,4.94132415674814,0.68965060524459,0.855156238371538,1.2356303179173,2.02910610054388,33.4951445331351,0.596058192052643,3.02481687565723,2,4,NA,NA,NA,110,2
5,3.59126023100621,0.7065217835988,0.907942237216861,1.15206993813174,1.71436750312504,24.8343521545981,0.609719747602253,2.62371154102111,2,4,NA,NA,NA,118,2
6,5.36465014954307,0.761679738572797,0.842902377940577,1.01774424371371,1.5959250530983,27.8907896050461,0.578737206333724,2.74730539034323,2,4,NA,NA,NA,205,4
6,5.36465014954307,0.711503612625465,0.857590557995015,1.44507216895098,2.45654972712092,30.51984370447,0.557935688552869,2.9069942765295,2,4,NA,NA,NA,213,4
