"FRich","m","Ring","Plot","n_trait","traits","SR"
0.22440497451022,2,1,13,4,1,7
0.129890619888308,2,1,30,4,1,3
0.167676748766834,2,1,43,4,1,4
0.129890619888308,2,1,52,4,1,3
0.0926770820746694,2,3,130,4,1,6
0.103838848401895,2,3,151,4,1,4
0.122982843931422,2,3,175,4,1,4
0.167676748766834,2,3,180,4,1,5
0.167676748766834,2,5,253,4,1,5
0.167676748766834,2,5,267,4,1,4
0.167676748766834,2,5,275,4,1,6
0.149034615417835,2,5,301,4,1,5
0.22440497451022,3,1,13,4,1,7
0.129890619888308,3,1,30,4,1,3
0.167676748766834,3,1,43,4,1,4
0.129890619888308,3,1,52,4,1,3
0.0926770820746694,3,3,130,4,1,6
0.103838848401895,3,3,151,4,1,4
0.122982843931422,3,3,175,4,1,4
0.167676748766834,3,3,180,4,1,5
0.167676748766834,3,5,253,4,1,5
0.167676748766834,3,5,267,4,1,4
0.167676748766834,3,5,275,4,1,6
0.149034615417835,3,5,301,4,1,5
0.22440497451022,4,1,13,4,1,7
0.129890619888308,4,1,30,4,1,3
0.167676748766834,4,1,43,4,1,4
0.129890619888308,4,1,52,4,1,3
0.0926770820746694,4,3,130,4,1,6
0.103838848401895,4,3,151,4,1,4
0.122982843931422,4,3,175,4,1,4
0.167676748766834,4,3,180,4,1,5
0.167676748766834,4,5,253,4,1,5
0.167676748766834,4,5,267,4,1,4
0.167676748766834,4,5,275,4,1,6
0.149034615417835,4,5,301,4,1,5
0.231918750877105,2,1,13,4,2,7
0.224115817364681,2,1,30,4,2,3
0.224115817364681,2,1,43,4,2,4
0.224115817364681,2,1,52,4,2,3
0.0404512702457547,2,3,130,4,2,6
0.0700811762217888,2,3,151,4,2,4
0.119453003188465,2,3,175,4,2,4
0.224115817364681,2,3,180,4,2,5
0.224115817364681,2,5,253,4,2,5
0.224115817364681,2,5,267,4,2,4
0.224115817364681,2,5,275,4,2,6
0.224115817364681,2,5,301,4,2,5
0.231918750877105,3,1,13,4,2,7
0.224115817364681,3,1,30,4,2,3
0.224115817364681,3,1,43,4,2,4
0.224115817364681,3,1,52,4,2,3
0.0404512702457547,3,3,130,4,2,6
0.0700811762217888,3,3,151,4,2,4
0.119453003188465,3,3,175,4,2,4
0.224115817364681,3,3,180,4,2,5
0.224115817364681,3,5,253,4,2,5
0.224115817364681,3,5,267,4,2,4
0.224115817364681,3,5,275,4,2,6
0.224115817364681,3,5,301,4,2,5
0.231918750877105,4,1,13,4,2,7
0.224115817364681,4,1,30,4,2,3
0.224115817364681,4,1,43,4,2,4
0.224115817364681,4,1,52,4,2,3
0.0404512702457547,4,3,130,4,2,6
0.0700811762217888,4,3,151,4,2,4
0.119453003188465,4,3,175,4,2,4
0.224115817364681,4,3,180,4,2,5
0.224115817364681,4,5,253,4,2,5
0.224115817364681,4,5,267,4,2,4
0.224115817364681,4,5,275,4,2,6
0.224115817364681,4,5,301,4,2,5
0.218931964619541,2,1,13,4,3,7
0.191555671514556,2,1,30,4,3,3
0.282312009772926,2,1,43,4,3,4
0.191555671514556,2,1,52,4,3,3
0.0866171720094646,2,3,130,4,3,6
0.189840577141353,2,3,151,4,3,4
0.206040256051095,2,3,175,4,3,4
0.282312009772926,2,3,180,4,3,5
0.282312009772926,2,5,253,4,3,5
0.282312009772926,2,5,267,4,3,4
0.282312009772926,2,5,275,4,3,6
0.236979743873949,2,5,301,4,3,5
0.218931964619541,3,1,13,4,3,7
0.191555671514556,3,1,30,4,3,3
0.282312009772926,3,1,43,4,3,4
0.191555671514556,3,1,52,4,3,3
0.0866171720094646,3,3,130,4,3,6
0.189840577141353,3,3,151,4,3,4
0.206040256051095,3,3,175,4,3,4
0.282312009772926,3,3,180,4,3,5
0.282312009772926,3,5,253,4,3,5
0.282312009772926,3,5,267,4,3,4
0.282312009772926,3,5,275,4,3,6
0.236979743873949,3,5,301,4,3,5
0.218931964619541,4,1,13,4,3,7
0.191555671514556,4,1,30,4,3,3
0.282312009772926,4,1,43,4,3,4
0.191555671514556,4,1,52,4,3,3
0.0866171720094646,4,3,130,4,3,6
0.189840577141353,4,3,151,4,3,4
0.206040256051095,4,3,175,4,3,4
0.282312009772926,4,3,180,4,3,5
0.282312009772926,4,5,253,4,3,5
0.282312009772926,4,5,267,4,3,4
0.282312009772926,4,5,275,4,3,6
0.236979743873949,4,5,301,4,3,5
0.196089253296187,2,1,13,4,4,7
0.191220162634269,2,1,30,4,4,3
0.268739448526076,2,1,43,4,4,4
0.191220162634269,2,1,52,4,4,3
0.0214053122208642,2,3,130,4,4,6
0.176659871262301,2,3,151,4,4,4
0.176659871262301,2,3,175,4,4,4
0.268739448526076,2,3,180,4,4,5
0.268739448526076,2,5,253,4,4,5
0.268739448526076,2,5,267,4,4,4
0.268739448526076,2,5,275,4,4,6
0.191220162634269,2,5,301,4,4,5
0.196089253296187,3,1,13,4,4,7
0.191220162634269,3,1,30,4,4,3
0.268739448526076,3,1,43,4,4,4
0.191220162634269,3,1,52,4,4,3
0.0214053122208642,3,3,130,4,4,6
0.176659871262301,3,3,151,4,4,4
0.176659871262301,3,3,175,4,4,4
0.268739448526076,3,3,180,4,4,5
0.268739448526076,3,5,253,4,4,5
0.268739448526076,3,5,267,4,4,4
0.268739448526076,3,5,275,4,4,6
0.191220162634269,3,5,301,4,4,5
0.196089253296187,4,1,13,4,4,7
0.191220162634269,4,1,30,4,4,3
0.268739448526076,4,1,43,4,4,4
0.191220162634269,4,1,52,4,4,3
0.0214053122208642,4,3,130,4,4,6
0.176659871262301,4,3,151,4,4,4
0.176659871262301,4,3,175,4,4,4
0.268739448526076,4,3,180,4,4,5
0.268739448526076,4,5,253,4,4,5
0.268739448526076,4,5,267,4,4,4
0.268739448526076,4,5,275,4,4,6
0.191220162634269,4,5,301,4,4,5
0.249133123752566,2,1,13,4,5,7
0.186680453948221,2,1,30,4,5,3
0.269933817384556,2,1,43,4,5,4
0.186680453948221,2,1,52,4,5,3
0.0194090112496522,2,3,130,4,5,6
0.185736312493847,2,3,151,4,5,4
0.198821191166091,2,3,175,4,5,4
0.269933817384556,2,3,180,4,5,5
0.269933817384556,2,5,253,4,5,5
0.269933817384556,2,5,267,4,5,4
0.269933817384556,2,5,275,4,5,6
0.240938600623992,2,5,301,4,5,5
0.249133123752566,3,1,13,4,5,7
0.186680453948221,3,1,30,4,5,3
