"Plot","Ring","CO2.Treatment","Nitrogen.Treatment","Achillea millefolium","Agropyron repens","Amorpha canescens","Andropogon gerardi","Anemone cylindrica","Asclepias tuberosa","Bouteloua gracilis","Bromus inermis","Koeleria cristata","Lespedeza capitata","Lupinus perennis","Petalostemum villosum","Poa pratensis","Schizachyrium scoparium","Solidago rigida","Sorghastrum nutans"
67,2,"Camb","Namb",0,0,0,72.9166666666667,0,0,0,0,0,4.16666666666667,4.16666666666667,0,18.75,0,0,0
69,2,"Camb","Namb",0,0,0,51.3513513513513,0,0,0,0,0,0,8.10810810810811,0,21.6216216216216,10.8108108108108,0,8.10810810810811
104,2,"Camb","Namb",0,0,12.9032258064516,64.5161290322581,0,0,0,0,0,0,6.45161290322581,0,13.9784946236559,2.1505376344086,0,0
107,2,"Camb","Namb",0,0,15.2380952380952,66.6666666666667,0,0,0,0.952380952380952,0,5.71428571428571,0,0,11.4285714285714,0,0,0
184,4,"Camb","Namb",0,0,10,70,0,0,0,0,0,0,2.5,0,12.5,2.5,0,2.5
188,4,"Camb","Namb",0,0,16.2790697674419,51.1627906976744,0,2.32558139534884,0,0,0,0,11.6279069767442,0,16.2790697674419,0,0,2.32558139534884
201,4,"Camb","Namb",0,0,15.2173913043478,63.0434782608696,0,0,0,0,0,0,8.69565217391304,0,6.52173913043478,6.52173913043478,0,0
222,4,"Camb","Namb",0,0,22.2222222222222,66.6666666666667,0,0,0,0,0,1.58730158730159,3.17460317460317,0,6.34920634920635,0,0,0
306,6,"Camb","Namb",0,0,0,76,0,0,0,1,0,4,6,0,12,0,0,1
344,6,"Camb","Namb",0,0,0,82.9268292682927,0,0,0,0,0,2.4390243902439,0,0,14.6341463414634,0,0,0
355,6,"Camb","Namb",0,0,4.76190476190476,87.3015873015873,0,0,0,0,0,0,0,0,7.93650793650794,0,0,0
358,6,"Camb","Namb",0,0,4.76190476190476,79.3650793650794,0,0,0,0,0,3.17460317460317,4.76190476190476,0,7.93650793650794,0,0,0
