"Plot","Ring","CO2.Treatment","Nitrogen.Treatment","Achillea millefolium","Agropyron repens","Amorpha canescens","Andropogon gerardi","Anemone cylindrica","Asclepias tuberosa","Bouteloua gracilis","Bromus inermis","Koeleria cristata","Lespedeza capitata","Lupinus perennis","Petalostemum villosum","Poa pratensis","Schizachyrium scoparium","Solidago rigida","Sorghastrum nutans"
23,1,"Cenrich","Namb",0,2.38095238095238,7.14285714285714,21.4285714285714,0,0,0,0,0,2.38095238095238,21.4285714285714,0,19.047619047619,0,0,26.1904761904762
33,1,"Cenrich","Namb",0,0,5.26315789473684,39.4736842105263,0,0,0,0,0,2.63157894736842,13.1578947368421,0,13.1578947368421,0,0,26.3157894736842
45,1,"Cenrich","Namb",0,0,1.36986301369863,82.1917808219178,0,0,0,0,0,4.10958904109589,1.36986301369863,0,10.958904109589,0,0,0
51,1,"Cenrich","Namb",0,0,1.25,65,0,0,0,0,0,6.25,16.25,0,11.25,0,0,0
147,3,"Cenrich","Namb",0,0,12.5,41.6666666666667,0,6.25,0,0,0,2.08333333333333,0,0,20.8333333333333,14.5833333333333,0,2.08333333333333
163,3,"Cenrich","Namb",0,0,6.99300699300699,69.9300699300699,0,6.99300699300699,0,1.3986013986014,0,2.0979020979021,0,0,6.99300699300699,0,5.59440559440559,0
173,3,"Cenrich","Namb",0,0,3.53982300884956,79.646017699115,0,0,0,0,0,0.884955752212389,3.53982300884956,0,7.07964601769912,0,5.30973451327434,0
179,3,"Cenrich","Namb",0,0,7.93650793650794,79.3650793650794,0,0,0,0,0,1.58730158730159,0,0,11.1111111111111,0,0,0
250,5,"Cenrich","Namb",0,0,7.01754385964912,54.3859649122807,0,0,0,0,0,0,14.0350877192982,0,8.7719298245614,1.75438596491228,7.01754385964912,7.01754385964912
270,5,"Cenrich","Namb",0,0,0,88.2758620689655,0,0,0,0,0,0,0,0,11.0344827586207,0,0.689655172413793,0
272,5,"Cenrich","Namb",0,1.28205128205128,17.9487179487179,33.3333333333333,0,0,0,0,0,1.28205128205128,17.9487179487179,0,25.6410256410256,0,2.56410256410256,0
283,5,"Cenrich","Namb",0,0,1.38888888888889,76.3888888888889,0,0,0,1.38888888888889,0,1.38888888888889,8.33333333333333,0,9.72222222222222,0,1.38888888888889,0
