"Plot","Ring","CO2.Treatment","Nitrogen.Treatment","Achillea millefolium","Agropyron repens","Amorpha canescens","Andropogon gerardi","Anemone cylindrica","Asclepias tuberosa","Bouteloua gracilis","Bromus inermis","Koeleria cristata","Lespedeza capitata","Lupinus perennis","Petalostemum villosum","Poa pratensis","Schizachyrium scoparium","Solidago rigida","Sorghastrum nutans"
64,2,"Camb","Nenrich",0,0,0,65.8536585365854,0,0,0,0,0,0,0,0,17.0731707317073,0,0,17.0731707317073
108,2,"Camb","Nenrich",0,1.88679245283019,0,84.9056603773585,0,0,0,0,0,1.88679245283019,0,0,11.3207547169811,0,0,0
110,2,"Camb","Nenrich",0,2.32558139534884,0,65.1162790697674,0,0,0,0,0,2.32558139534884,6.97674418604651,0,20.9302325581395,0,2.32558139534884,0
118,2,"Camb","Nenrich",0,1.42857142857143,0,40,0,35.7142857142857,0,0,0,0,2.85714285714286,0,20,0,0,0
205,4,"Camb","Nenrich",0,0,0,66.6666666666667,0,0,1.38888888888889,1.38888888888889,0,5.55555555555556,2.77777777777778,0,22.2222222222222,0,0,0
213,4,"Camb","Nenrich",0,1.85185185185185,0,62.962962962963,0,0,0,1.85185185185185,0,0,0,14.8148148148148,18.5185185185185,0,0,0
234,4,"Camb","Nenrich",0,2.24719101123596,0,85.3932584269663,0,0,0,0,0,1.12359550561798,4.49438202247191,0,6.74157303370787,0,0,0
236,4,"Camb","Nenrich",0,0,0,81.9672131147541,0,4.91803278688525,0,0,0,0,0,0,9.83606557377049,3.27868852459016,0,0
307,6,"Camb","Nenrich",0,2.27272727272727,0,45.4545454545455,0,0,13.6363636363636,4.54545454545455,0,0,9.09090909090909,0,25,0,0,0
311,6,"Camb","Nenrich",0,2.22222222222222,0,62.2222222222222,0,0,0,0,0,4.44444444444444,8.88888888888889,0,22.2222222222222,0,0,0
321,6,"Camb","Nenrich",0,0,0,67.9245283018868,0,0,1.88679245283019,3.77358490566038,0,0,3.77358490566038,0,16.9811320754717,5.66037735849057,0,0
354,6,"Camb","Nenrich",0,2.40963855421687,0,84.3373493975904,0,0,0,2.40963855421687,0,0,0,0,10.8433734939759,0,0,0
