"monospecies","CO2.Treatment","Nitrogen.Treatment","SLA","I_star","R_star","Root_C","Root_N","Root_biomass","Shoot_C","Shoot_N","Seed_mass"
"Achillea.millefolium","Camb","Nenrich",116.588095238095,0.687544206107477,0.167465,45.806,1.1935,111.616861538462,42.6384595238095,1.95597185714286,6.25e-05
"Agropyron.repens","Camb","Nenrich",201.187,0.446003756246512,0.18175,43.4395,0.9935,316.681007575758,45.8824975,1.2365549375,0.002026131
"Amorpha.canescens","Camb","Nenrich",155.094736842105,0.603582804819444,1.37096,45.1045,1.5325,102.803203125,46.7219064102564,2.07379064102564,0.0023726
"Andropogon.gerardi","Camb","Nenrich",214.79378,0.270201669125581,0.227728571428571,46.0885,0.472,401.123139534884,45.3355624444444,1.04482698666667,0.0016
"Anemone.cylindrica","Camb","Nenrich",163.470833333333,0.884578027117371,1.36693,44.722,0.934,27.169007751938,43.4752022222222,1.72479016666667,0.0011
"Asclepias.tuberosa","Camb","Nenrich",225.822357142857,0.860951474874419,2.08593,45.55,1.9815,79.3948492063492,40.9215386842105,2.35020384210526,0.00717
"Bouteloua.gracilis","Camb","Nenrich",74.82292757,0.51108806359447,0.215455,45.6545,0.8505,328.760587301587,45.0173504545455,1.39461786363636,0.00033786325
"Bromus.inermis","Camb","Nenrich",180.720985611511,0.433334166027907,0.285645,42.411,1.065,240.755961832061,45.3327031914894,1.33644054042553,0.207375
"Koeleria.cristata","Camb","Nenrich",100.457746478873,0.74127665987037,0.54108,43.82,1.528,108.276821705426,44.3191315909091,1.67850622727273,0.0002043275
"Lespedeza.capitata","Camb","Nenrich",159.917547008547,0.661558673383178,1.37337,45.03,1.4585,76.0435954198473,45.6765664444444,2.15409893333333,0.120409375
"Lupinus.perennis","Camb","Nenrich",196.880837606838,0.50068331347907,2.0307,40.855,2.3435,64.273519379845,41.39584125,1.8459064375,0.526125
"Petalostemum.villosum","Camb","Nenrich",119.903278688525,0.590248943300926,1.585595,47.6495,1.44,75.0280157480315,45.99931725,2.099329975,0.0020832
"Poa.pratensis","Camb","Nenrich",60.30456214,0.569776129283721,0.34932,44.117,1.008,329.169153846154,45.023994375,1.70548539583333,0.04165
"Schizachyrium.scoparium","Camb","Nenrich",210.774358974359,0.452638481902326,0.264515,46.7845,0.679,211.7301640625,46.06479925,1.071384135,0.00174375
"Solidago.rigida","Camb","Nenrich",109.428166666667,0.491507810753488,0.252835,46.6425,1.619,97.8420708661417,43.62658825,1.3778875,0.00073852275
"Sorghastrum.nutans","Camb","Nenrich",186.648315789474,0.450133501009302,0.279045,45.895,0.6565,157.670738461538,44.66316,1.1511088925,0.002027359
