"monospecies","CO2.Treatment","Nitrogen.Treatment","SLA","I_star","R_star","Root_C","Root_N","Root_biomass","Shoot_C","Shoot_N","Seed_mass"
"Achillea.millefolium","Cenrich","Nenrich",110.691379310345,0.692656754116279,0.22278,37.637,1.358,144.960138461538,41.7799790243902,1.80723875609756,6.25e-05
"Agropyron.repens","Cenrich","Nenrich",210.721270833333,0.4249148585,0.199405,43.134,0.925,393.068303030303,45.77512425,1.1669205975,0.0019992855
"Amorpha.canescens","Cenrich","Nenrich",146.402777777778,0.520757226492958,0.820995,45.5825,1.1385,59.1308267716535,46.4190635,1.781686075,0.0023726
"Andropogon.gerardi","Cenrich","Nenrich",233.637675213675,0.218233793101852,0.167415,46.2855,0.382,463.653573643411,45.7201891304348,0.991299213043478,0.00142025
"Anemone.cylindrica","Cenrich","Nenrich",157.288,0.875518703793427,0.964935,44.722,0.934,38.634796875,43.979090625,1.6896104375,0.0011
"Asclepias.tuberosa","Cenrich","Nenrich",166.3418,0.739202239762791,0.820995,43.1025,1.87,91.7461692307692,38.5480283333333,2.07597372222222,0.00717
"Bouteloua.gracilis","Cenrich","Nenrich",74.82292757,0.473298415730233,0.115495,48.0955,0.8455,316.533212598425,45.1879475,1.40159086136364,0.000355209
"Bromus.inermis","Cenrich","Nenrich",191.679490566038,0.383419277651163,0.36835,44.871,0.8215,250.535740458015,44.7573533333333,1.23693548541667,0.09895
"Koeleria.cristata","Cenrich","Nenrich",96.5884615384615,0.670658850376744,0.230795,45.026,0.889,146.1020078125,44.2923973809524,1.43108945238095,0.0001656085
"Lespedeza.capitata","Cenrich","Nenrich",166.134306122449,0.587917006680556,0.94654,46.461,1.3635,117.094320610687,46.8173945652174,2.01622954347826,0.22974375
"Lupinus.perennis","Cenrich","Nenrich",198.532882882883,0.462309564474419,2.29176,42.9345,2.9665,103.216730769231,41.3952010416667,1.73668170833333,0.433675
"Petalostemum.villosum","Cenrich","Nenrich",108.56,0.577484724648148,1.071525,44.3155,1.405,82.6346461538461,45.5685538461538,1.95151125641026,0.0020832
"Poa.pratensis","Cenrich","Nenrich",60.30456214,0.559319647601852,0.258255,43.759,1.069,375.838837209302,44.9981114893617,1.50503736170213,0.0464
"Schizachyrium.scoparium","Cenrich","Nenrich",204.338596491228,0.436224462325581,0.3393,46.5425,0.6025,235.730596899225,45.86161275,1.088113775,0.00163960725
"Solidago.rigida","Cenrich","Nenrich",107.825980952381,0.32920721550463,0.309915,44.5275,0.986,177.046209302326,42.8056815384615,1.00554822307692,0.00052218225
"Sorghastrum.nutans","Cenrich","Nenrich",194.13816,0.416925694004651,0.391585,46.213,0.5745,257.258061538462,45.2003979487179,1.03979654871795,0.0016085
