"WaterShed","uid","andropogon_gerardii","schizachyrium_scoparium","bouteloua_curtipendula","bouteloua_gracilis","bouteloua_hirsuta","bouteloua_dactyloides","elymus_canadensis","elymus_virginicus","eragrostis_spectabilis","koeleria_macrantha","muhlenbergia_cuspidata","dichanthelium_oligosanthes","panicum_virgatum","dichanthelium_ovale","poa_pratensis","sorghastrum_nutans","spartina_pectinata","sphenopholis_obtusata","sporobolus_compositus","sporobolus_cryptandrus","sporobolus_heterolepis","bromus_arvensis","vulpia_octoflora","hordeum_pusillum","schedonnardus_paniculatus","carex_brevior","carex_gravida","carex_inops","carex_meadii","cyperus_lupulinus","eleocharis_compressa","amorpha_canescens","ceanothus_herbaceus","rosa_arkansana","symphoricarpos_orbiculatus","achillea_millefolium","ambrosia_psilostachya","antennaria_neglecta","artemisia_ludoviciana","asclepias_stenophylla","asclepias_verticillata","asclepias_viridis","asclepias_tuberosa","symphyotrichum_ericoides","symphyotrichum_oblongifolium","symphyotrichum_sericeum","astragalus_crassicarpus","baptisia_australis","baptisia_bracteata","arnoglossum_plantagineum","callirhoe_involucrata","cirsium_undulatum","conyza_canadensis","croton_monanthogynus","delphinium_carolinianum","descurainia_pinnata","draba_reptans","echinacea_angustifolia","erigeron_strigosus","euphorbia_marginata","euphorbia_spathulata","euphorbia_glyptosperma","hedeoma_hispida","hieracium_longipilum","hybanthus_verticillatus","hymenopappus_scabiosaeus","brickellia_eupatorioides","lepidium_densiflorum","lespedeza_capitata","liatris_punctata","linum_sulcatum","lithospermum_incisum","lomatium_foeniculaceum","oenothera_macrocarpa","oenothera_speciosa","oenothera_biennis","opuntia_macrorhiza","oxalis_stricta","oxalis_violacea","penstemon_cobaea","penstemon_grandiflorus","dalea_candida","dalea_multiflora","dalea_purpurea","physalis_pumila","plantago_rhodosperma","polygala_verticillata","pediomelum_esculentum","pediomelum_tenuiflorum","ratibida_columnifera","ruellia_humilis","salvia_azurea","mimosa_quadrivalvis","packera_plattensis","silene_antirrhina","sisyrinchium_campestre","solanum_carolinense","solidago_altissima","solidago_missouriensis","solidago_rigida","spermolepis_inermis","tragia_betonicifolia","tragopogon_dubius","triodanis_leptocarpa","triodanis_perfoliata","glandularia_bipinnatifida","verbena_stricta","vernonia_baldwinii","viola_bicolor","galium_aparine","lespedeza_violacea","pediomelum_argophyllum","desmodium_illinoense","viola_pedatifida","prunus_americana","kummerowia_stipulacea","asclepias_viridiflora","ageratina_altissima","comandra_umbellata","agalinis_aspera","acalypha_virginica","ulmus_americana","parietaria_pensylvanica","asclepias_syriaca","taraxacum_officinale","medicago_lupulina","cornus_drummondii","digitaria_cognata","lithospermum_occidentale","bromus_inermis","prunella_vulgaris","teucrium_canadense","grindelia_squarrosa","calystegia_macounii","verbascum_blattaria","euphorbia_dentata","gleditsia_triacanthos","celtis_occidentalis","viola_nephrophylla","ambrosia_artemisiifolia","euphorbia_serpens","tridens_flavus","fallopia_scandens","stenaria_nigricans","mirabilis_albida","toxicodendron_radicans","rhus_glabra","monarda_fistulosa","torilis_arvensis","rhus_aromatica","triosteum_perfoliatum","juniperus_virginiana","euphorbia_nutans","euphorbia_cyathophora","senna_marilandica","cercis_canadensis","oenothera_serrulata","plantago_patagonica","muhlenbergia_racemosa","zanthoxylum_americanum","geum_canadense","rubus_pensilvanicus","verbena_urticifolia","symphyotrichum_drummondii","cirsium_altissimum","erigeron_philadelphicus","eupatorium_altissimum","desmodium_sessilifolium","erigeron_annuus","ulmus_rubra","securigera_varia","erechtites_hieraciifolia","carex_austrina","pseudognaphalium_obtusifolium","solidago_canadensis"
"020b",1,26.1941448382126,1.07858243451464,0,0,0,0,0,0,0,0,0,0.154083204930663,4.62249614791988,0,19.2604006163328,1.07858243451464,0,0,11.5562403697997,0,1.07858243451464,0,0,0,0,0.154083204930663,0,0,0.154083204930663,0,0.154083204930663,1.07858243451464,1.07858243451464,0,0,0,4.62249614791988,0,1.07858243451464,0,0,1.07858243451464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154083204930663,0,0,0,0,0,0,0.154083204930663,0,0,0,0,0,1.07858243451464,0,0,0,0,0,0,19.2604006163328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07858243451464,0,0,0,0,0.154083204930663,0,0,0,0,1.07858243451464,0,0,0,0,0.154083204930663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154083204930663,0,0,1.07858243451464,0,1.07858243451464,0,0,0,0,0.154083204930663,0,0,0
"020b",17,9.71502590673575,0,0,0,0,0,0,0,0,0,0,0.906735751295337,9.71502590673575,0,9.71502590673575,0.129533678756477,0,0.129533678756477,0.129533678756477,0,3.8860103626943,0,0,0,0,0.129533678756477,0,0,0.906735751295337,0,0.129533678756477,0.906735751295337,3.8860103626943,0,9.71502590673575,0,0.906735751295337,0,0,0,0,0,0,0.129533678756477,0.906735751295337,0,0,0,0.129533678756477,0,0,0,0,0,0,0,0,0,0,0.129533678756477,0.129533678756477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129533678756477,0,0,0,0,0,0,0,0,0,0,0,0,0.129533678756477,0,0,0,0,0,0.906735751295337,9.71502590673575,0.906735751295337,0,0,0,0,0,0,0,0,0.129533678756477,0,0,0,0,0,0,0,0,0,0,0,0,0.129533678756477,0.129533678756477,0,0,0,0,9.71502590673575,0,0,0.906735751295337,0,0.129533678756477,0,0,0,0,0,0,0,0.129533678756477,0,0,0.129533678756477,0,0,0,3.8860103626943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129533678756477,9.71502590673575,0,0,9.71502590673575,0,0.906735751295337,0,0,0,0,0,0,0.129533678756477,0
"020b",15,1.79948586118252,0,0,0,0,0,0,0,0,0,0,0,0,0,19.280205655527,0.25706940874036,0,0,0.25706940874036,0,0,0,0,0,0,0,0,0,0.25706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25706940874036,0,0,0,0,0,0,0,0,0,0,0,0.25706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25706940874036,0,0,0,0,0,0,0,0,0,0,0,50.1285347043702,0,0,0,0,0,0,0,0,0,0.25706940874036,0,0,0,0,0,0,0,0,19.280205655527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7120822622108,0,0,0,0,0,0,0,0,0,0,0,0,0
"020b",9,13.2508833922261,5.30035335689046,0.176678445229682,0,0,0,0,0,0,0,0,5.30035335689046,0,0,13.2508833922261,1.23674911660777,0,0,0.176678445229682,0,1.23674911660777,0,0,0,0,0,0,0.176678445229682,1.23674911660777,0,0,1.23674911660777,5.30035335689046,1.23674911660777,1.23674911660777,0,1.23674911660777,0,0,0,0,0,0,0.176678445229682,0,0,0,0,1.23674911660777,0,0,0,0,0.176678445229682,0,0,0,0,0,0,0,0,0,0.176678445229682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176678445229682,0,0,0,0,0,0,1.23674911660777,0,0,0,0,0.176678445229682,1.23674911660777,0,0,0,0,0,0,22.0848056537102,0,0,0,0,0,0,0,0,0,0,0,0,1.23674911660777,0,0,0,0.176678445229682,0,0,0,0,0,0,0.176678445229682,0,0,0,0,13.2508833922261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176678445229682,1.23674911660777,0,0,5.30035335689046,0,0.176678445229682,0,0,0,0,0,0,0,0
"020b",7,11.5562403697997,1.07858243451464,0.154083204930663,0,0,0,0.154083204930663,0,0,0.154083204930663,0,1.07858243451464,0,0,11.5562403697997,1.07858243451464,0,0,0.154083204930663,0,4.62249614791988,0,0,0,0,0.154083204930663,0,0.154083204930663,1.07858243451464,0,0,0.154083204930663,4.62249614791988,0,4.62249614791988,1.07858243451464,4.62249614791988,0,4.62249614791988,0,0,0,0,0,0.154083204930663,0,0,0,0.154083204930663,0,0,0,0.154083204930663,0,0,0.154083204930663,0,0,0,0,0.154083204930663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154083204930663,0,0,0,0,0,0,0.154083204930663,0,0,0,0,0,1.07858243451464,0,0,0,0,0.154083204930663,0,19.2604006163328,1.07858243451464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154083204930663,0,0,0.154083204930663,0,0,0.154083204930663,0,0,4.62249614791988,0,0,0,0,1.07858243451464,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07858243451464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5562403697997,0,0,4.62249614791988,0,0.154083204930663,0,0,0,1.07858243451464,0,0,0,0
"020b",13,10.0671140939597,4.02684563758389,0.134228187919463,0,0,0,0,0,0,0,0,4.02684563758389,4.02684563758389,0,16.7785234899329,0.134228187919463,0,0,0.939597315436242,0,0,0,0,0,0,0.134228187919463,0,0,0.134228187919463,0,0,0,0,0.939597315436242,10.0671140939597,0,10.0671140939597,0,0.939597315436242,0,0,0,0,0.939597315436242,0.134228187919463,0,0,0,0.134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939597315436242,0,0.134228187919463,0,0.134228187919463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939597315436242,0,0,0,0,0,0.939597315436242,0.134228187919463,0,0,0,0,0,10.0671140939597,0,0,0,0,0,0,0,0,0,0.134228187919463,0,0,0,0,0,0,0.134228187919463,0,0,0,0,0,0.134228187919463,0.134228187919463,0,0,0,0,10.0671140939597,0,0,10.0671140939597,0,0.939597315436242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134228187919463,0,0,0,0,0,0,0,0,0,0,0.939597315436242,0,0.134228187919463,0,0.134228187919463,0,0,0,0,0,0,0.134228187919463,0
"020b",2,25.6797583081571,0.151057401812689,0,0,0,0,0.151057401812689,0,0,0,0,0,1.05740181268882,0,18.8821752265861,1.05740181268882,0,0,1.05740181268882,0,4.53172205438066,0,0,0,0,0,0,0,0.151057401812689,0,0,0.151057401812689,0,0,1.05740181268882,0,4.53172205438066,0,1.05740181268882,0,0,0.151057401812689,0,0,0,0,0,0.151057401812689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151057401812689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151057401812689,0,0,0,0,0,4.53172205438066,0.151057401812689,4.53172205438066,0,0,0,0,25.6797583081571,1.05740181268882,0.151057401812689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151057401812689,0,0,0,0,0,0,0.151057401812689,0,0,0,0,0,0,0,0,0,1.05740181268882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05740181268882,0,0,0.151057401812689,0,1.05740181268882,0,0,0,0,0.151057401812689,0,0,0
"020b",18,11.1441307578009,0,0.148588410104012,0,0,0,0,0,0,0,0,1.04011887072808,0.148588410104012,0,18.5735512630015,0.148588410104012,0,0.148588410104012,0.148588410104012,0,1.04011887072808,0.148588410104012,0,0,0,1.04011887072808,0.148588410104012,0,0.148588410104012,0,0,0.148588410104012,4.45765230312036,0,11.1441307578009,0,4.45765230312036,0,0,0,0,0,0,0.148588410104012,1.04011887072808,0,0,0,0,0,0,0,0.148588410104012,0,0,0,0,0,0,0,0.148588410104012,0,0,0,0,0,0.148588410104012,0,0,0,0,0,0,0,0,0,0,1.04011887072808,0,0,0,0,0,0,0.148588410104012,0,0,0,0,0,0,0.148588410104012,0.148588410104012,0,0,0,0.148588410104012,4.45765230312036,11.1441307578009,0,0,0,0,0,0,0,0,0.148588410104012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1441307578009,0,0,0,0,1.04011887072808,0,0,0,0.148588410104012,0,0,0,0,0,0,0,0,0,0,1.04011887072808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1441307578009,0,0,1.04011887072808,0,1.04011887072808,0,0,0.148588410104012,0,0,0,0,0
"020b",11,17.5561797752809,0.98314606741573,0.140449438202247,0,0,0,0,0,0,0.140449438202247,0,4.21348314606742,0.140449438202247,0,17.5561797752809,0.98314606741573,0,0.140449438202247,0.98314606741573,0,0,0,0,0,0,0,0,0.140449438202247,0.140449438202247,0,0,0.140449438202247,0,0,0.140449438202247,0,0.140449438202247,0,17.5561797752809,0,0,0,0,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140449438202247,0.140449438202247,0,0,0,0,0,0.98314606741573,0.140449438202247,0.140449438202247,0,0,0,0.140449438202247,0.98314606741573,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140449438202247,0,0,0,0,0,23.876404494382,0,0,0,0,0.140449438202247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5337078651685,0,0,0.98314606741573,0,0.140449438202247,0,0,0,0,0,0,0,0
"020b",5,11.1111111111111,0.148148148148148,0.148148148148148,0,0,0,0.148148148148148,0,0,0,0,1.03703703703704,0.148148148148148,0,25.1851851851852,1.03703703703704,0,0,1.03703703703704,0,1.03703703703704,0,0,0,0,0,0,0,0.148148148148148,0,0,0,0,0,4.44444444444444,0,0.148148148148148,0,1.03703703703704,0,0,0.148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148148148,0,0,0,0,0,0.148148148148148,0,0,0,0,0,1.03703703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148148148,0.148148148148148,0,0,0,0,0,0.148148148148148,0.148148148148148,0,0,0,0,0,18.5185185185185,0,0,0,0,0,0,0,0,0,0,0,0,4.44444444444444,0,0,0,1.03703703703704,0,0,0,0,0,0,0.148148148148148,0,0,0,0,11.1111111111111,0,0,0,0,0.148148148148148,0,0,0,0,0,0,0,0,0,0.148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44444444444444,0,0,11.1111111111111,0,0,0,0,0,0,0,0,0,0
