"WaterShed","uid","andropogon_gerardii","schizachyrium_scoparium","bouteloua_curtipendula","bouteloua_gracilis","bouteloua_hirsuta","bouteloua_dactyloides","elymus_canadensis","elymus_virginicus","eragrostis_spectabilis","koeleria_macrantha","muhlenbergia_cuspidata","dichanthelium_oligosanthes","panicum_virgatum","dichanthelium_ovale","poa_pratensis","sorghastrum_nutans","spartina_pectinata","sphenopholis_obtusata","sporobolus_compositus","sporobolus_cryptandrus","sporobolus_heterolepis","bromus_arvensis","vulpia_octoflora","hordeum_pusillum","schedonnardus_paniculatus","carex_brevior","carex_gravida","carex_inops","carex_meadii","cyperus_lupulinus","eleocharis_compressa","amorpha_canescens","ceanothus_herbaceus","rosa_arkansana","symphoricarpos_orbiculatus","achillea_millefolium","ambrosia_psilostachya","antennaria_neglecta","artemisia_ludoviciana","asclepias_stenophylla","asclepias_verticillata","asclepias_viridis","asclepias_tuberosa","symphyotrichum_ericoides","symphyotrichum_oblongifolium","symphyotrichum_sericeum","astragalus_crassicarpus","baptisia_australis","baptisia_bracteata","arnoglossum_plantagineum","callirhoe_involucrata","cirsium_undulatum","conyza_canadensis","croton_monanthogynus","delphinium_carolinianum","descurainia_pinnata","draba_reptans","echinacea_angustifolia","erigeron_strigosus","euphorbia_marginata","euphorbia_spathulata","euphorbia_glyptosperma","hedeoma_hispida","hieracium_longipilum","hybanthus_verticillatus","hymenopappus_scabiosaeus","brickellia_eupatorioides","lepidium_densiflorum","lespedeza_capitata","liatris_punctata","linum_sulcatum","lithospermum_incisum","lomatium_foeniculaceum","oenothera_macrocarpa","oenothera_speciosa","oenothera_biennis","opuntia_macrorhiza","oxalis_stricta","oxalis_violacea","penstemon_cobaea","penstemon_grandiflorus","dalea_candida","dalea_multiflora","dalea_purpurea","physalis_pumila","plantago_rhodosperma","polygala_verticillata","pediomelum_esculentum","pediomelum_tenuiflorum","ratibida_columnifera","ruellia_humilis","salvia_azurea","mimosa_quadrivalvis","packera_plattensis","silene_antirrhina","sisyrinchium_campestre","solanum_carolinense","solidago_altissima","solidago_missouriensis","solidago_rigida","spermolepis_inermis","tragia_betonicifolia","tragopogon_dubius","triodanis_leptocarpa","triodanis_perfoliata","glandularia_bipinnatifida","verbena_stricta","vernonia_baldwinii","viola_bicolor","galium_aparine","lespedeza_violacea","pediomelum_argophyllum","desmodium_illinoense","viola_pedatifida","prunus_americana","kummerowia_stipulacea","asclepias_viridiflora","ageratina_altissima","comandra_umbellata","agalinis_aspera","acalypha_virginica","ulmus_americana","parietaria_pensylvanica","asclepias_syriaca","taraxacum_officinale","medicago_lupulina","cornus_drummondii","digitaria_cognata","lithospermum_occidentale","bromus_inermis","prunella_vulgaris","teucrium_canadense","grindelia_squarrosa","calystegia_macounii","verbascum_blattaria","euphorbia_dentata","gleditsia_triacanthos","celtis_occidentalis","viola_nephrophylla","ambrosia_artemisiifolia","euphorbia_serpens","tridens_flavus","fallopia_scandens","stenaria_nigricans","mirabilis_albida","toxicodendron_radicans","rhus_glabra","monarda_fistulosa","torilis_arvensis","rhus_aromatica","triosteum_perfoliatum","juniperus_virginiana","euphorbia_nutans","euphorbia_cyathophora","senna_marilandica","cercis_canadensis","oenothera_serrulata","plantago_patagonica","muhlenbergia_racemosa","zanthoxylum_americanum","geum_canadense","rubus_pensilvanicus","verbena_urticifolia","symphyotrichum_drummondii","cirsium_altissimum","erigeron_philadelphicus","eupatorium_altissimum","desmodium_sessilifolium","erigeron_annuus","ulmus_rubra","securigera_varia","erechtites_hieraciifolia","carex_austrina","pseudognaphalium_obtusifolium","solidago_canadensis"
"001d",21,42.0792079207921,7.42574257425743,0,0,0,0,0,0,0,0,0,0.247524752475248,18.5643564356436,0,0,7.42574257425743,0,0,0,0,0,0,0,0,0,0.247524752475248,0,0.247524752475248,0.247524752475248,0,0,7.42574257425743,0,0,0,0,1.73267326732673,0,0.247524752475248,0,0,0.247524752475248,0,0,0,0,0,0,0,0,0,0.247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752475248,0,0,1.73267326732673,0,0,0,0,0,0.247524752475248,0,0,0,0,0,0,7.42574257425743,0,0,0,0,0,0,0,0,0,1.73267326732673,0,0,0,1.73267326732673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247524752475248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",26,37.7777777777778,37.7777777777778,0.222222222222222,0,0,0,0,0,0.222222222222222,0,0,1.55555555555556,0.222222222222222,0.222222222222222,0,6.66666666666667,0,0,0.222222222222222,0,0,0,0,0,0,0.222222222222222,0,1.55555555555556,0.222222222222222,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0.222222222222222,1.55555555555556,0,0.222222222222222,0.222222222222222,0,0,0,1.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55555555555556,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",36,15.2129817444219,25.3549695740365,0.202839756592292,0,0,0,0,0,0,0,0,0.202839756592292,34.4827586206897,0,0,6.08519269776876,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0.202839756592292,0.202839756592292,0,0,0.202839756592292,0,0,0,0,1.41987829614604,0,0,0,0.202839756592292,0,0,0,0,0,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0,0,0,1.41987829614604,0,0.202839756592292,0.202839756592292,0,0,0.202839756592292,0,0,0.202839756592292,6.08519269776876,6.08519269776876,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0,0,0.202839756592292,0,0,0.202839756592292,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202839756592292,0,0,0,0,0,0,0,0,0,0
"001d",33,18.2481751824818,18.2481751824818,0.24330900243309,0,0,0,0,0,0,0,0,0.24330900243309,41.3625304136253,0,0,7.2992700729927,0,0,0.24330900243309,0,1.70316301703163,0,0,0,0,0,0,0.24330900243309,0.24330900243309,0,0,0,0,0,0,0,7.2992700729927,0,0,0,0.24330900243309,0.24330900243309,0,0.24330900243309,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24330900243309,0,0,1.70316301703163,0,0,0,0,0.24330900243309,0.24330900243309,0,0.24330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0.24330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",28,28.735632183908,17.2413793103448,0.229885057471264,0,0,0,0,0,0,0,0,0.229885057471264,28.735632183908,0,0,6.89655172413793,0,0,0.229885057471264,0,0,0,0,0,0,0,0,1.60919540229885,1.60919540229885,0,0,0,0,0,0,0,6.89655172413793,0,1.60919540229885,0.229885057471264,0.229885057471264,0.229885057471264,0,0,0,0,0,0,0.229885057471264,0,0,0,0,0,0.229885057471264,0,0,0,0,0,0,0,0,0,0,0,0.229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229885057471264,0,0,1.60919540229885,0,0,0,0,0,0.229885057471264,0,0.229885057471264,0,0,0,0,0.229885057471264,0.229885057471264,0,0,0,0,0,0,0,0,1.60919540229885,0,0,0,0,0,0,0,0,0.229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",38,37.8619153674833,27.8396436525613,0.22271714922049,0,0,0,0,0,0,0.22271714922049,0,0.22271714922049,16.7037861915368,0,0,6.6815144766147,0,0,0.22271714922049,0,0,0,0,0,0,0,0,0.22271714922049,0.22271714922049,0,0,0.22271714922049,0,0,0.22271714922049,0,1.55902004454343,0,0,0,0.22271714922049,1.55902004454343,0,0,0.22271714922049,0,0,0,0.22271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22271714922049,0,0,0.22271714922049,0,0.22271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0.22271714922049,0,0.22271714922049,0.22271714922049,0,0,0,0,0.22271714922049,0,1.55902004454343,0,0,0,0.22271714922049,0,0,1.55902004454343,0,0,0,0,0,0,0,0,0.22271714922049,0,0,0.22271714922049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",30,35.5648535564854,6.27615062761506,0.209205020920502,0,0,0,0,0,0,0,0,0.209205020920502,35.5648535564854,0,0,6.27615062761506,0,0,0.209205020920502,0,0,0,0,0,0,0,0,0.209205020920502,0.209205020920502,0,0,1.46443514644351,0,0,0,0,6.27615062761506,0,0,0,0.209205020920502,1.46443514644351,0,0.209205020920502,0,0,0,0,1.46443514644351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46443514644351,0,0,0,0,0,0,0,0,0,0,0,0,0.209205020920502,0,0,0.209205020920502,0,0,0,0,0,0.209205020920502,1.46443514644351,0,0,0,0,0,0.209205020920502,0,0,0,0.209205020920502,0,0,0,0,0,0.209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",22,35.0515463917526,6.18556701030928,0.206185567010309,0,0,0,0,0,0,0,0,1.44329896907216,25.7731958762887,0,0,6.18556701030928,0,0,0.206185567010309,0,0,0,0,0,0,0.206185567010309,0,0.206185567010309,0.206185567010309,0,0,6.18556701030928,6.18556701030928,0,0,0,6.18556701030928,0,0.206185567010309,0,0.206185567010309,0,0,0,0,0.206185567010309,0,0,0.206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,0.206185567010309,0,0,0.206185567010309,0,0,0,0,0,0,0,0,0,0,0,0,1.44329896907216,0,0,0,0,0,0,0,0,0,1.44329896907216,0,0,0,1.44329896907216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",27,22.3880597014925,22.3880597014925,0.298507462686567,0,0,0,0,0,0,0,0,0.298507462686567,22.3880597014925,0.298507462686567,0,8.95522388059701,0,0,0.298507462686567,0,0,0,0,0,0,0,0,0.298507462686567,0.298507462686567,0,0,0.298507462686567,0,0,0,0,8.95522388059701,0,0,0,0,2.08955223880597,0,0,0,0,0,0,2.08955223880597,0,0,0,0,0,0,0,0,0,0.298507462686567,0,0,0,0,0,0,0,0,0,0.298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0.298507462686567,0,0.298507462686567,2.08955223880597,0,0,0,0,0,0.298507462686567,0,0,0,0,0.298507462686567,0.298507462686567,2.08955223880597,0,0,0,0,0,0,0,0,0,2.08955223880597,0,0,0.298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"001d",32,45.945945945946,20.2702702702703,0.27027027027027,0,0,0,0,0,0,0,0,0.27027027027027,8.10810810810811,0,0,8.10810810810811,0,0,0.27027027027027,0,1.89189189189189,0,0,0,0,0.27027027027027,0,0.27027027027027,0.27027027027027,0,0,1.89189189189189,0,0,0,0,8.10810810810811,0,0.27027027027027,0.27027027027027,0.27027027027027,1.89189189189189,0,0.27027027027027,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
