"SR","FRic","FEve","FDiv","FDis","RaoQ","sev.blackplots","n_trait","traits","mean_cor","min_cor","max_cor"
4,0.151503111442319,0.362334534989834,0.976935853362683,0.157099735069172,0.0364396981234009,"5 W 3",2,1,NA,NA,NA
5,0.0483626441056595,0.423747615391857,0.991930510859377,0.198602399379007,0.0450946030561209,"1 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.130633990615514,0.0344269513894844,"1 NE 1",2,1,NA,NA,NA
3,0.00113024497658374,0.778804451046158,0.836780077933222,0.0672223869155356,0.00460008435923741,"1 S 1",2,1,NA,NA,NA
5,0.103613350864912,0.359967273099544,0.903657936412476,0.0175483412923808,0.00334789866612626,"1 W 1",2,1,NA,NA,NA
6,0.124658304069104,0.762670166686353,0.958081933556988,0.0651259362766014,0.0135333074744043,"1 W 3",2,1,NA,NA,NA
4,0.0368140085280853,0.823762808822849,0.505143752936728,0.0978993868274106,0.00981944077421466,"1 E 3",2,1,NA,NA,NA
5,0.0702598124855768,0.441693287400648,0.521201639679677,0.069321574021671,0.00636477039328589,"1 S 3",2,1,NA,NA,NA
7,0.146273549062717,0.621568083413456,0.567767118115053,0.0882112565131369,0.0101621393728405,"4 NE 1",2,1,NA,NA,NA
3,0.0249502709130052,0.0462401681712006,0.994543871115898,0.0142283596452616,0.00323407965445351,"4 S 3",2,1,NA,NA,NA
4,0.0509907333620809,0.650986915495553,0.841607588510369,0.249512735530986,0.0653349650900861,"4 NE 3",2,1,NA,NA,NA
5,0.174831896050561,0.594763882167746,0.963392735298487,0.257755336482997,0.0709886610286159,"4 NW 1",2,1,NA,NA,NA
2,NA,NA,NA,0.0122390365001304,0.00155506096331718,"5 S 3",2,1,NA,NA,NA
7,0.239757772203142,0.398129620013515,0.895578632504632,0.215579917479337,0.0540787755336603,"4 S 1",2,1,NA,NA,NA
5,0.230783524010038,0.567831636134268,0.876485769460202,0.203474263761471,0.053604552962973,"1 NE 3",2,1,NA,NA,NA
3,0.0196541549294822,0.711915653738106,0.954633947890695,0.0904443966945496,0.00855200226132239,"4 W 3",2,1,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,1,NA,NA,NA
4,0.153672655077621,0.800722264712821,0.827048126369515,0.240009591905886,0.0649981065330736,"5 E 1",2,1,NA,NA,NA
4,0.00792198299699719,0.354243589677935,0.974870506235197,0.0163810225576495,0.00228201528847846,"5 NE 3",2,1,NA,NA,NA
2,NA,NA,NA,0.071114646119457,0.0145477872147329,"5 E 3",2,1,NA,NA,NA
6,0.073430490151942,0.38638299683511,0.955627130695766,0.182696594553966,0.0402097450157103,"5 N 1",2,1,NA,NA,NA
3,0.0965144394198485,0.233049058462717,0.984372141806484,0.0857578949642589,0.0209052538213882,"5 N 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0121804089321971,0.00154761189310104,"4 NW 3",2,1,NA,NA,NA
3,0.0345156708923163,0.8178267073297,0.546320055873122,0.107502630069848,0.0135979093792596,"1 N 1",2,1,NA,NA,NA
3,0.0997477068692985,0.861709357352716,0.597169577282941,0.0544604104499295,0.0066746558095455,"4 E 3",2,1,NA,NA,NA
1,NA,NA,NA,0,0,"5 W 1",2,1,NA,NA,NA
3,0.135592178725031,0.383107662393055,0.998860511697793,0.152431116214988,0.0401328530337041,"4 W 1",2,1,NA,NA,NA
3,0.0802623415861737,0.814183258279165,0.520952570796712,0.124280413753609,0.0310163719245596,"5 S 1",2,1,NA,NA,NA
2,NA,NA,NA,0.127990853733596,0.033730385782625,"5 NE 1",2,1,NA,NA,NA
4,0.0912612854446685,0.45310167571358,0.831283812856161,0.125890570353241,0.0237991878843459,"5 W 3",2,2,NA,NA,NA
5,0.163794091640242,0.301290408393675,0.992743126418657,0.222103562607554,0.0555997727195169,"1 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.163307493050076,0.0538019978051173,"1 NE 1",2,2,NA,NA,NA
3,0.00050922315655378,0.846188119313794,0.781924874470189,0.0480047340708192,0.00234628510249548,"1 S 1",2,2,NA,NA,NA
5,0.0908782767294476,0.544305285983623,0.990120155900773,0.0178274706865418,0.00321872063354848,"1 W 1",2,2,NA,NA,NA
6,0.0831429536694932,0.529351395867495,0.960813563153747,0.0855994045679188,0.0247508656402571,"1 W 3",2,2,NA,NA,NA
4,0.114152597155064,0.788025306499241,0.626430307198535,0.101441370348986,0.0123732230342283,"1 E 3",2,2,NA,NA,NA
5,0.100146292027329,0.749905554780248,0.688801431696876,0.151413397263618,0.0268645998496389,"1 S 3",2,2,NA,NA,NA
7,0.139230339167041,0.278928619243226,0.668516864709538,0.158131742190504,0.0270863708396782,"4 NE 1",2,2,NA,NA,NA
3,0.0908782767294476,0.0388072624621816,0.998856321733975,0.0157104612119577,0.00396652710680124,"4 S 3",2,2,NA,NA,NA
4,0.071623784309257,0.767068927481015,0.850495279549944,0.312221138502891,0.102648519717225,"4 NE 3",2,2,NA,NA,NA
5,0.0735264810266453,0.364957502707272,0.927042267228427,0.292894402081343,0.0902002800434706,"4 NW 1",2,2,NA,NA,NA
2,NA,NA,NA,0.00936439618216211,0.000910358639136787,"5 S 3",2,2,NA,NA,NA
7,0.189279286423008,0.571200165041594,0.915453688656149,0.121161696447148,0.0227033737190175,"4 S 1",2,2,NA,NA,NA
5,0.120428518316294,0.468103682165422,0.959398846319808,0.237508802617918,0.0739476109219484,"1 NE 3",2,2,NA,NA,NA
3,0.00273861773251505,0.863969514549142,0.530950648836977,0.0912496832640156,0.0107617693645837,"4 W 3",2,2,NA,NA,NA
1,NA,NA,NA,0,0,"4 E 1",2,2,NA,NA,NA
4,0.156489086706483,0.668728147606093,0.899975172719453,0.293330392197181,0.0944185590939858,"5 E 1",2,2,NA,NA,NA
4,0.0359895325519056,0.295982844668121,0.976627401689512,0.0112099340422075,0.00117790609045996,"5 NE 3",2,2,NA,NA,NA
