"Kartez","genus_new","species_new","ldmc","sla","d15N","d13C","perc_N","perc_C","stem_dmc","root_dmc","PhotoPath","height"
"ACNE","Acalypha","neomexicana",0.1998623684,498.35186054,-2.33164583333333,-28.727625,1.71215871366667,45.4753978866667,0.242762376,0.224717213,"C3",-58.05
"ALIN","Allionia","incarnata",0.136046353,174.4222169,3.3374375,-13.971125,2.0314573245,33.620177835,0.290534829,0.336904349,"C4",-35.0714285714286
"AMPA","Amaranthus","palmeri",0.153509956,333.751520233333,5.67185416666667,-14.5609583333333,2.87199743266667,41.1506511366667,0.207511668,0.24236570625,"C4",14.0689655172414
"APRAH","Aphanostephus","ramosissimus",0.1525787946,333.7760554,2.5581875,-31.464625,2.3662716875,47.617994025,0.2716992286,0.2947074902,"C3",-23.1320754716981
"ARAD","Aristida","adscensionis",0.352607036333333,265.263058033333,3.35225416666667,-15.5142916666667,1.56895411,43.83837783,0.203221628666667,0.377136752,"C4",11.4358974358974
"ARFEF","Boechera","fendleri",0.2348239188,166.12120036,-3.01314583333333,-29.4322916666667,2.782942428,43.96464023,0.3103499236,0.336084021,"C3",-56.8387096774194
"ARPU9","Aristida","purpurea",0.401269369,95.043871628,1.22402083333333,-14.2019583333333,1.188203481,44.9310203133333,0.4431378572,0.3244658572,"C4",NA
"ASFE2","Astragalus","missouriensis",0.261905197,137.0899179,0.9136875,-28.2159583333333,4.62129185333333,45.9729666833333,0.215002012,0.236109971,"C3",NA
"ASNU4","Astragalus","nuttallianus",0.215275402,202.9476228,-0.4093125,-27.501125,5.2344350375,45.67891478,0.219806763,0.261998051,"C3",-137.875862068966
"ATCA2","Atriplex","canescens",0.3441961488,72.13503517,5.66666666666667,-15.6333333333333,2.8,43.9,NA,NA,"C4",15.9358974358974
"BAABA","Bahia","absinthifolia",0.170079922428571,134.013583557143,1.1196875,-28.9809583333333,2.32802595666667,43.5780877466667,0.373193338428571,0.381633892857143,"C3",9.81632653061224
"BADI","Amauriopsis","dissecta",0.1464581088,162.14867306,-0.700645833333333,-29.7469583333333,1.38343324866667,45.9500819433333,0.3186631226,0.33367171,"C3",-117.107142857143
"BELY","Berlandiera","lyrata",0.1826203025,175.8328081,1.509265972,-29.30109028,3.3858237065,47.69299665,0.2130616315,0.2490498085,"C3",-348.666666666667
"BOBA2","Chondrosum","barbatum",0.304119640666667,278.797771166667,3.7151875,-14.7842916666667,0.968527664333333,41.5297971266667,0.303656911833333,NA,"C4",0.287878787878788
"BOCU","Bouteloua","curtipendula",0.3913726696,173.97699164,-3.17587083333333,-16.067875,1.38184371166667,42.9031464833333,0.4263265904,0.3872578352,"C4",-4.89473684210526
"BOER4","Chondrosum","eriopoda",0.365646643666667,185.484431266667,0.791683333333333,-15.1881666666667,1.24780668466667,43.5095609766667,0.492621746,0.324178373333333,"C4",-20.0802919708029
"BOGR2","Chondrosum","gracile",0.4241795039,153.46801952,0.394016666666667,-15.8695,1.641371254,44.48539274,0.339851045,0.3246423375,"C4",-19.6823449216087
"BOHI2","Chondrosum","hirsutum",0.4206874806,179.40097934,-1.84031666666667,-15.8518333333333,1.23193961833333,39.9246644933333,0.3395919074,0.315346756,"C4",-39.1885964912281
"BRCA3","Brickellia","californica",0.1800316716,330.73789158,-0.66865,-28.6221666666667,2.20696986466667,47.3638253966667,0.337362744,0.39425880125,"C3",10.1333333333333
"BREUC2","Brickellia","eupatorioides",0.19329506675,210.328359475,3.93968333333333,-29.9981666666667,2.37172702033333,49.2901383666667,0.33655654625,0.3831419435,"C3",-63.4166666666667
"CHAL11","Euphorbia","albomarginata",0.3281618402,126.49552944,1.23135,-13.5391666666667,1.29727439133333,46.47210355,0.2544734956,0.3823606574,"C4",-64.8989898989899
"CHCHC3","Chamaesyce","chaetocalyx",0.2927789654,190.71104596,-3.70831666666667,-15.4061666666667,1.760171218,46.7110763833333,0.3982931354,0.4902319744,"C4",NA
"CHCO2","Chamaesaracha","coronopus",0.1515410018,156.35347034,6.08128333333333,-28.5521666666667,3.48647821866667,43.4524832,0.1920316072,1.5870835216,"C3",-43.9508196721311
"CHER2","Chaetopappa","ericoides",0.3289807892,159.25484844,1.33781666666667,-29.7855,1.772837093,48.76022209,0.3713275064,0.4168315868,"C3",-1.93061224489796
"CHGR2","Chenopodium","vulvaria",0.0977998985,537.953606216667,-3.23441666666667,-27.1408333333333,1.65230947133333,54.7664940866667,0.216836241666667,0.23863636375,"C3",-127.133333333333
"CHIN2","Chenopodium","incanum",0.0987667433333333,218.480285666667,9.52121666666667,-25.5121666666667,2.756296528,36.5811397266667,0.272480670333333,0.379177399333333,"C3",10.4444444444444
"CHRE4","Euphorbia","revoluta",0.2443816245,263.605971816667,-1.18048333333333,-15.5918333333333,1.79010447233333,45.7789836,0.298697573666667,0.2599215684,"C4",-35.0531914893617
"CHSE7","Euphorbia","serrula",0.273843816,200.3182734,1.396352381,-14.5372380966667,1.57383208866667,45.2684813166667,0.27004716975,0.2992929595,"C4",-100.788461538462
"CHSES","Euphorbia","serpyllifolia",0.29827854225,199.2830341,0.202090476333333,-14.4070476233333,1.60560008733333,47.2935801966667,0.3304940735,0.315824867,"C4",-128.94262295082
"CINE","Cirsium","neomexicanum",0.210014201333333,57.2220715066667,5.89611111066667,-27.6128888933333,1.72014716766667,45.7987866,0.2783466785,0.298149017666667,"C3",-301.285714285714
"COEQ","Convolvulus","equitans",0.205408516,247.7269826,3.894444444,-28.79855556,3.053409685,46.46698874,0.183844011,NA,"C3",NA
