"FRich","m","sev.blackplots","n_trait","traits","SR"
0.170303461210355,2,"5 W 3",4,1,4
0.10984812919821,2,"1 E 1",4,1,5
0.00110972365821878,2,"1 S 1",4,1,3
0.192683837148203,2,"1 W 1",4,1,5
0.162478986647451,2,"1 W 3",4,1,6
0.0804120989874914,2,"1 E 3",4,1,4
0.131668039431157,2,"1 S 3",4,1,5
0.0951529684622147,2,"4 NE 1",4,1,7
0.10984812919821,2,"4 S 3",4,1,3
0.0101166171480503,2,"4 NE 3",4,1,4
0.12356312102438,2,"4 NW 1",4,1,5
0.1286616081096,2,"4 S 1",4,1,7
0.127897354022971,2,"1 NE 3",4,1,5
0.0343534568667089,2,"4 W 3",4,1,3
0.109080476409318,2,"5 E 1",4,1,4
0.0141277880674751,2,"5 NE 3",4,1,4
0.125486863370862,2,"5 N 1",4,1,6
0.0834618302009665,2,"5 N 3",4,1,3
0.00554167389117811,2,"1 N 1",4,1,3
0.0852135321094719,2,"4 E 3",4,1,3
0.0814040355341638,2,"4 W 1",4,1,3
0.111529893916508,2,"5 S 1",4,1,3
0.170303461210355,3,"5 W 3",4,1,4
0.10984812919821,3,"1 E 1",4,1,5
0.00110972365821878,3,"1 S 1",4,1,3
0.192683837148203,3,"1 W 1",4,1,5
0.162478986647451,3,"1 W 3",4,1,6
0.0804120989874914,3,"1 E 3",4,1,4
0.131668039431157,3,"1 S 3",4,1,5
0.0951529684622147,3,"4 NE 1",4,1,7
0.10984812919821,3,"4 S 3",4,1,3
0.0101166171480503,3,"4 NE 3",4,1,4
0.12356312102438,3,"4 NW 1",4,1,5
0.1286616081096,3,"4 S 1",4,1,7
0.127897354022971,3,"1 NE 3",4,1,5
0.0343534568667089,3,"4 W 3",4,1,3
0.109080476409318,3,"5 E 1",4,1,4
0.0141277880674751,3,"5 NE 3",4,1,4
0.125486863370862,3,"5 N 1",4,1,6
0.0834618302009665,3,"5 N 3",4,1,3
0.00554167389117811,3,"1 N 1",4,1,3
0.0852135321094719,3,"4 E 3",4,1,3
0.0814040355341638,3,"4 W 1",4,1,3
0.111529893916508,3,"5 S 1",4,1,3
0.170303461210355,4,"5 W 3",4,1,4
0.10984812919821,4,"1 E 1",4,1,5
0.00110972365821878,4,"1 S 1",4,1,3
0.192683837148203,4,"1 W 1",4,1,5
0.162478986647451,4,"1 W 3",4,1,6
0.0804120989874914,4,"1 E 3",4,1,4
0.131668039431157,4,"1 S 3",4,1,5
0.0951529684622147,4,"4 NE 1",4,1,7
0.10984812919821,4,"4 S 3",4,1,3
0.0101166171480503,4,"4 NE 3",4,1,4
0.12356312102438,4,"4 NW 1",4,1,5
0.1286616081096,4,"4 S 1",4,1,7
0.127897354022971,4,"1 NE 3",4,1,5
0.0343534568667089,4,"4 W 3",4,1,3
0.109080476409318,4,"5 E 1",4,1,4
0.0141277880674751,4,"5 NE 3",4,1,4
0.125486863370862,4,"5 N 1",4,1,6
0.0834618302009665,4,"5 N 3",4,1,3
0.00554167389117811,4,"1 N 1",4,1,3
0.0852135321094719,4,"4 E 3",4,1,3
0.0814040355341638,4,"4 W 1",4,1,3
0.111529893916508,4,"5 S 1",4,1,3
0.0611131257610556,2,"5 W 3",4,2,4
0.069387891878541,2,"1 E 1",4,2,5
0.000109980836422275,2,"1 S 1",4,2,3
0.0552757897681689,2,"1 W 1",4,2,5
0.0363089459036826,2,"1 W 3",4,2,6
0.0913329321527468,2,"1 E 3",4,2,4
0.0256519648418917,2,"1 S 3",4,2,5
0.0570186671446789,2,"4 NE 1",4,2,7
0.0118137186201599,2,"4 S 3",4,2,3
0.0186017124058692,2,"4 NE 3",4,2,4
0.103842367346953,2,"4 NW 1",4,2,5
0.134459256455632,2,"4 S 1",4,2,7
0.119815908817628,2,"1 NE 3",4,2,5
0.022058720494091,2,"4 W 3",4,2,3
0.0943982120535971,2,"5 E 1",4,2,4
0.00928405632559694,2,"5 NE 3",4,2,4
0.147541366417067,2,"5 N 1",4,2,6
0.0397570468952888,2,"5 N 3",4,2,3
0.0492835700997441,2,"1 N 1",4,2,3
0.0760530813702177,2,"4 E 3",4,2,3
0.0602916529752957,2,"4 W 1",4,2,3
0.0932221764479461,2,"5 S 1",4,2,3
0.0611131257610556,3,"5 W 3",4,2,4
0.069387891878541,3,"1 E 1",4,2,5
0.000109980836422275,3,"1 S 1",4,2,3
0.0552757897681689,3,"1 W 1",4,2,5
0.0363089459036826,3,"1 W 3",4,2,6
0.0913329321527468,3,"1 E 3",4,2,4
0.0256519648418917,3,"1 S 3",4,2,5
0.0570186671446789,3,"4 NE 1",4,2,7
0.0118137186201599,3,"4 S 3",4,2,3
0.0186017124058692,3,"4 NE 3",4,2,4
0.103842367346953,3,"4 NW 1",4,2,5
0.134459256455632,3,"4 S 1",4,2,7
0.119815908817628,3,"1 NE 3",4,2,5
0.022058720494091,3,"4 W 3",4,2,3
0.0943982120535971,3,"5 E 1",4,2,4
0.00928405632559694,3,"5 NE 3",4,2,4
0.147541366417067,3,"5 N 1",4,2,6
0.0397570468952888,3,"5 N 3",4,2,3
0.0492835700997441,3,"1 N 1",4,2,3
0.0760530813702177,3,"4 E 3",4,2,3
0.0602916529752957,3,"4 W 1",4,2,3
0.0932221764479461,3,"5 S 1",4,2,3
0.0611131257610556,4,"5 W 3",4,2,4
0.069387891878541,4,"1 E 1",4,2,5
0.000109980836422275,4,"1 S 1",4,2,3
0.0552757897681689,4,"1 W 1",4,2,5
0.0363089459036826,4,"1 W 3",4,2,6
0.0913329321527468,4,"1 E 3",4,2,4
0.0256519648418917,4,"1 S 3",4,2,5
0.0570186671446789,4,"4 NE 1",4,2,7
0.0118137186201599,4,"4 S 3",4,2,3
0.0186017124058692,4,"4 NE 3",4,2,4
0.103842367346953,4,"4 NW 1",4,2,5
0.134459256455632,4,"4 S 1",4,2,7
0.119815908817628,4,"1 NE 3",4,2,5
0.022058720494091,4,"4 W 3",4,2,3
0.0943982120535971,4,"5 E 1",4,2,4
0.00928405632559694,4,"5 NE 3",4,2,4
0.147541366417067,4,"5 N 1",4,2,6
0.0397570468952888,4,"5 N 3",4,2,3
0.0492835700997441,4,"1 N 1",4,2,3
0.0760530813702177,4,"4 E 3",4,2,3
0.0602916529752957,4,"4 W 1",4,2,3
0.0932221764479461,4,"5 S 1",4,2,3
0.0660489576660548,2,"5 W 3",4,3,4
0.0664051711450407,2,"1 E 1",4,3,5
0.000486863177809032,2,"1 S 1",4,3,3
0.0483727959082761,2,"1 W 1",4,3,5
0.0754311431332134,2,"1 W 3",4,3,6
0.0619011726913035,2,"1 E 3",4,3,4
0.0392050211881242,2,"1 S 3",4,3,5
0.0506082344093312,2,"4 NE 1",4,3,7
0.020144610160554,2,"4 S 3",4,3,3
0.0261375050453041,2,"4 NE 3",4,3,4
0.114254474613265,2,"4 NW 1",4,3,5
0.167650414319044,2,"4 S 1",4,3,7
0.174391382063783,2,"1 NE 3",4,3,5
