"SR","FRic","FEve","FDiv","FDis","RaoQ","sev.blueplots","n_trait","traits","mean_cor","min_cor","max_cor"
5,0.00304935694656808,0.749217398861245,0.666863535262187,0.0360522288203945,0.00145890268264551,"5 E 1",2,1,NA,NA,NA
5,0.145527798034854,0.372249264017628,0.955258548101289,0.101758646595064,0.0193988774451607,"4 W 1",2,1,NA,NA,NA
5,0.0367314510780963,0.324216199903778,0.996690117172656,0.0731946550191507,0.0184695880000932,"2 W 1",2,1,NA,NA,NA
8,0.258830531932977,0.370738070589985,0.614415468275993,0.0551555355635413,0.00807754505456613,"5 N 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0509835934021169,0.00415687688124637,"5 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.00313269528982239,0.000215931683564855,"1 E 3",2,1,NA,NA,NA
3,0.00369968609902619,0.28200055192654,0.553504360785476,0.0517718709901809,0.00419274510733646,"2 E 1",2,1,NA,NA,NA
3,0.0140314079889232,0.524636311974186,0.721215797335292,0.0718970353971827,0.0058916730545261,"3 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.0792285335522398,0.00645978907098147,"2 N 1",2,1,NA,NA,NA
3,0.0436259442746849,0.60143634288726,0.679110325019217,0.0859692198880434,0.00890925253259934,"3 N 1",2,1,NA,NA,NA
4,0.0253458717362068,0.557072703393513,0.849787986969727,0.0608810724746039,0.0047899154041149,"1 W 3",2,1,NA,NA,NA
4,0.0722875415641532,0.201146544611097,0.979774807912936,0.096966499874969,0.01428064196867,"3 W 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0568696992736672,0.00463679239494965,"3 N 3",2,1,NA,NA,NA
5,0.029045557835233,0.270516420848924,0.740534665111142,0.0812864089213226,0.00678075791803287,"1 W 1",2,1,NA,NA,NA
2,NA,NA,NA,0.025802396124404,0.00462519901718071,"5 W 3",2,1,NA,NA,NA
6,0.0964731347049086,0.180579971657889,0.560629755150214,0.114801154929641,0.0147256669716994,"4 E 1",2,1,NA,NA,NA
3,0.00369968609902619,0.829447266824098,0.850444075454869,0.0677132686610073,0.00552156861508574,"2 N 3",2,1,NA,NA,NA
5,0.174007763565139,0.558599424235906,0.548578695911887,0.0728799774107694,0.0139771563548003,"5 W 1",2,1,NA,NA,NA
1,NA,NA,NA,0,0,"1 N 3",2,1,NA,NA,NA
2,NA,NA,NA,0.081099384606356,0.00661232632809031,"1 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.0246088073398008,0.000617338240358913,"4 N 1",2,1,NA,NA,NA
3,0.000456041074282522,0.36506553815167,0.941822589462301,0.0197577804348374,0.00074609667635525,"5 N 1",2,1,NA,NA,NA
2,NA,NA,NA,0.0583418340617151,0.00475682087191967,"4 N 3",2,1,NA,NA,NA
4,0.0244667319340255,0.353475261753874,0.539273142576341,0.0524862386888011,0.00446107619928123,"1 N 1",2,1,NA,NA,NA
9,0.341523781583793,0.817831694410907,0.925625906665796,0.163224474577141,0.0406290883256281,"4 E 3",2,1,NA,NA,NA
3,0.0432334795375811,0.660712828864395,0.70965753524227,0.0964276260202406,0.0132899005894377,"3 W 1",2,1,NA,NA,NA
3,0.00369968609902619,0.941525397874619,0.784562718368176,0.077748273680034,0.00634087722776663,"2 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0101810970693462,0.000830101689763066,"2 W 3",2,1,NA,NA,NA
1,NA,NA,NA,0,0,"4 W 3",2,1,NA,NA,NA
3,0.0388349536035701,0.548132188597358,0.669046481913009,0.0836908394651541,0.00760135795474615,"3 E 3",2,1,NA,NA,NA
5,0.00694242838007802,0.719262462297885,0.612840385631365,0.0655649615443928,0.00508917382610275,"5 E 1",2,2,NA,NA,NA
5,0.148776040546025,0.716175403196329,0.941455424088289,0.133678526615199,0.0333306079981573,"4 W 1",2,2,NA,NA,NA
5,0.0865873878624285,0.463988326812093,0.996014541994517,0.107424837584799,0.0401344619987381,"2 W 1",2,2,NA,NA,NA
8,0.237352713965242,0.195423912289319,0.733944360523496,0.0816677550368468,0.0107432582654297,"5 N 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0379950328266822,0.00230865972118218,"5 E 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0033868886881743,0.000252395675667617,"1 E 3",2,2,NA,NA,NA
3,0.00211581612371611,0.989943813259275,0.661497578911717,0.04072192882685,0.00263704271855391,"2 E 1",2,2,NA,NA,NA
3,0.00629499094898229,0.45587722098306,0.725061435558305,0.0535639684644706,0.00327311824058304,"3 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.0590443029267186,0.00358765853826207,"2 N 1",2,2,NA,NA,NA
3,0.0108662102096159,0.449022833783215,0.590021135870109,0.0701935229162916,0.0118930503984172,"3 N 1",2,2,NA,NA,NA
4,0.0152937416253302,0.459460407595806,0.372588212344273,0.0441492532413694,0.00360498568057555,"1 W 3",2,2,NA,NA,NA
4,0.044338402458647,0.138654548714888,0.868978705622945,0.0819064231540246,0.017833432783862,"3 W 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0423815966384357,0.00257519675071407,"3 N 3",2,2,NA,NA,NA
5,0.0171405466323791,0.169515799012101,0.466818020359423,0.0670145689237652,0.0048494844535849,"1 W 1",2,2,NA,NA,NA
2,NA,NA,NA,0.0307049412485135,0.00654978266510183,"5 W 3",2,2,NA,NA,NA
6,0.0870827162210625,0.24655642769593,0.613785122282322,0.167102532983588,0.0339902680363881,"4 E 1",2,2,NA,NA,NA
3,0.00211581612371611,0.526348867134522,0.88565302666363,0.0523865028860573,0.00340604062277797,"2 N 3",2,2,NA,NA,NA
5,0.11529695340187,0.303168746109461,0.786310713867413,0.095826328369486,0.0249535762967808,"5 W 1",2,2,NA,NA,NA
1,NA,NA,NA,0,0,"1 N 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0604385366884374,0.00367237517325685,"1 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.044235028580892,0.00199468660695464,"4 N 1",2,2,NA,NA,NA
3,0.00184680500704893,0.914575103996829,0.391380587833312,0.0295656381563608,0.00212769834434863,"5 N 1",2,2,NA,NA,NA
2,NA,NA,NA,0.0434786909361252,0.00264185855429687,"4 N 3",2,2,NA,NA,NA
