"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","sev.blueplots","n_trait","traits","mean_cor","min_cor","max_cor"
5,0.117755688419816,0.607054806470452,0.606918695392864,0.187074903640413,0.0393781010475293,3.37158063142056,0.769354053352985,11.7412776711584,"5 E 1",2,1,NA,NA,NA
5,3.0997532076939,0.556723304129118,0.953415331958002,0.606571398655277,0.688773453752748,76.4511109495526,0.455846827079822,54.7278302948292,"4 W 1",2,1,NA,NA,NA
5,1.18392750488944,0.320465748616376,0.971342571766261,0.452712177914566,0.62075854681298,47.950007047317,0.580314309488215,28.0877812424375,"2 W 1",2,1,NA,NA,NA
8,5.17240729590863,0.351596590548858,0.962193475264109,0.299610767746104,0.247615076818847,61.4533142752906,0.333109324497299,55.6396026152497,"5 N 3",2,1,NA,NA,NA
2,NA,NA,NA,0.262804452779244,0.11045152498862,14.8226155752965,0.645258087024805,32.4419927237289,"5 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0169148351703874,0.00629528799441959,6.41515122277758,0.485656519131178,12.5029431899823,"1 E 3",2,1,NA,NA,NA
3,0.1092116743651,0.536055078960649,0.682657058296228,0.266904112410878,0.112338286571569,10.2641910303088,0.584016953656072,30.3082600442277,"2 E 1",2,1,NA,NA,NA
3,0.127005748106919,0.539310681925855,0.665101673624005,0.370602616400519,0.156559197717533,21.8040957783567,0.51017431237527,34.3529625020482,"3 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.408398271194313,0.171641733536451,15.656584328425,0.656554909091584,33.6994687009327,"2 N 1",2,1,NA,NA,NA
3,0.665286675086591,0.468137714672799,0.647327618864255,0.444193560400447,0.249104879735919,42.4843606009029,0.631163619308992,34.8895943187577,"3 N 1",2,1,NA,NA,NA
4,0.435599430443489,0.442224683430043,0.847516989377108,0.365738517512016,0.170269033553908,18.5656473761907,0.621814083822122,39.6033327796778,"1 W 3",2,1,NA,NA,NA
4,1.111964149679,0.23904442518941,0.75672672576411,0.502360338274169,0.388197987111552,78.3316852680537,0.589283473427877,52.5364343294731,"3 W 3",2,1,NA,NA,NA
2,NA,NA,NA,0.293145484655378,0.123203261897972,14.9356234573311,0.653368460669929,33.0458943117196,"3 N 3",2,1,NA,NA,NA
5,0.54481110480859,0.152659671113917,0.884339094673582,0.427240967984943,0.188398830622326,16.2972323398874,0.550473704381441,32.2317381737417,"1 W 1",2,1,NA,NA,NA
2,NA,NA,NA,0.139397888769446,0.134996572016259,52.149299677119,0.63856270058225,32.1179529047947,"5 W 3",2,1,NA,NA,NA
6,1.88912646384617,0.144085067617887,0.545147211724631,0.650497266847945,0.489841230309513,35.9639857391807,0.485720375732771,27.5427198429779,"4 E 1",2,1,NA,NA,NA
3,0.1092116743651,0.997616045627815,0.893761363458957,0.352411820606287,0.149600793946712,10.5929792131574,0.562180723462067,30.9987495883633,"2 N 3",2,1,NA,NA,NA
5,3.28780431534825,0.454384573643486,0.539816883073068,0.396202161070312,0.415056797413422,103.255247032383,0.456443753575629,76.8539093812048,"5 W 1",2,1,NA,NA,NA
2,NA,NA,NA,0.418041922312244,0.175694769781345,15.785659018924,0.670312788011171,34.8995357774194,"1 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.127463039146991,0.0165619163141355,2.09705033213139,0.874602236913989,10.9407633620059,"4 N 1",2,1,NA,NA,NA
3,0.0107490099271168,0.407819209183721,0.925596811743211,0.101634507648114,0.0197672097987527,2.55853482209027,0.754821328726151,10.5701708253103,"5 N 1",2,1,NA,NA,NA
2,NA,NA,NA,0.300733878324274,0.126392513998079,14.9434958474291,0.658479645833201,32.7017130476482,"4 N 3",2,1,NA,NA,NA
4,0.551606244052966,0.644902786061189,0.718896162144477,0.270529089592367,0.118511671723138,19.7157836768052,0.576111970079573,33.3704156168016,"1 N 1",2,1,NA,NA,NA
9,7.90659101566387,0.789795284820785,0.893212781962024,0.876863240693703,1.19013573092833,121.090045267951,0.511425953242808,84.1007810843311,"4 E 3",2,1,NA,NA,NA
3,0.725507617043286,0.511497894792134,0.689982429199785,0.497264747591005,0.362412335646643,59.6930953393503,0.708990648150914,48.8810341172895,"3 W 1",2,1,NA,NA,NA
3,0.1092116743651,0.874882071695543,0.852996063964115,0.401681958886621,0.169284361258414,10.7525918496861,0.563606820707193,31.7491497705289,"2 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0524803660443988,0.0220564621347338,12.2578050370742,0.535282257234769,30.0337846298614,"2 W 3",2,1,NA,NA,NA
3,0.481276640639419,0.385438606567055,0.603566666865993,0.433469085917598,0.209696081181426,36.4890603662372,0.58053784907883,29.1902714755231,"3 E 3",2,1,NA,NA,NA
5,0.382982907175519,0.796747124944745,0.564630462671709,0.329939258449479,0.143869033654614,0.614835537790109,0.530623700018546,1.3857771515547,"5 E 1",2,2,NA,NA,NA
5,3.14953211784398,0.694029339474156,0.91947266000255,0.668355825110786,0.832880105620046,2.63534368857592,0.616458993035878,2.33821674967714,"4 W 1",2,2,NA,NA,NA
5,1.84495193875632,0.46003835508328,0.970674448042628,0.559771374409112,0.937784300913658,2.84405739319166,0.624516069246286,3.13687676069248,"2 W 1",2,2,NA,NA,NA
8,4.66783327529341,0.212970277304442,0.750814503086829,0.451783206697516,0.320780717649687,2.18814352165887,0.436686413497944,2.37713816718326,"5 N 3",2,2,NA,NA,NA
2,NA,NA,NA,0.199931954521207,0.0639249947599155,0.182328078815771,0.764992860277687,0.40919175998773,"5 E 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0172254407654714,0.00652861035638275,0.357311892260283,0.457888701158124,0.537420995477863,"1 E 3",2,2,NA,NA,NA
3,0.150731056540852,0.93405837699224,0.704468831041909,0.215155350120944,0.0722183578154525,0.320144032073471,0.658115338667982,0.822835616340998,"2 E 1",2,2,NA,NA,NA
3,0.155729175890052,0.432382564529242,0.691624616845514,0.282087821115532,0.0908781006997587,0.322032086118541,0.579171600601664,0.443791234427062,"3 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.310694372638916,0.0993394787263548,0.193710376679923,0.88769557735466,0.442232872171234,"2 N 1",2,2,NA,NA,NA
3,0.507990792275221,0.26057265214344,0.583346719071062,0.368978915611381,0.293057531187163,1.71286048982616,0.609785382509845,3.30373643660285,"3 N 1",2,2,NA,NA,NA
4,0.372996369433504,0.796608521060486,0.257343998505113,0.202483576838786,0.0912063113319143,0.490039857929857,0.589132022526031,1.37197364947357,"1 W 3",2,2,NA,NA,NA
4,1.2414859434823,0.112178287322951,0.810411258689859,0.422864239967074,0.426791021537227,2.25675335549026,0.525853207530882,3.06661922755141,"3 W 3",2,2,NA,NA,NA
2,NA,NA,NA,0.223014294797538,0.0713051981133248,0.183345296092974,0.789826982402836,0.420849241428753,"3 N 3",2,2,NA,NA,NA
5,0.501455820698704,0.796066673321283,0.527633767263156,0.347600483224915,0.128500799019757,0.480146375363685,0.623299855125587,1.18659855808275,"1 W 1",2,2,NA,NA,NA
2,NA,NA,NA,0.15052197448467,0.157401969130365,2.02592460210074,0.613340813427053,1.97105760566801,"5 W 3",2,2,NA,NA,NA
6,1.65475973463527,0.279437244187988,0.558518193283077,0.82155479720458,0.796720603871383,1.94978486289367,0.659183485908616,2.56739253660616,"4 E 1",2,2,NA,NA,NA
3,0.150731056540852,0.587456037855366,0.899437150079707,0.272693869302692,0.0919156547752801,0.322485853460335,0.600053677823221,0.845645770951153,"2 N 3",2,2,NA,NA,NA
5,1.99438020815528,0.230362508691518,0.830707372585821,0.473251392222356,0.591175856425061,2.12634008175544,0.560152488031542,3.21205612509879,"5 W 1",2,2,NA,NA,NA
2,NA,NA,NA,0.318030907451544,0.10168521655789,0.194662465592318,0.906577917445838,0.428883120354016,"1 E 1",2,2,NA,NA,NA
2,NA,NA,NA,0.23205433320429,0.054893561943059,0.353690391014211,0.585860306552249,0.97594881388301,"4 N 1",2,2,NA,NA,NA
3,0.1284594512652,0.849457904942354,0.399830012426602,0.137585832113642,0.0552881084028782,0.366033055937246,0.563402978360295,1.33299503874205,"5 N 1",2,2,NA,NA,NA
2,NA,NA,NA,0.22878726539166,0.0731510116845577,0.186666852006903,0.788999403647626,0.425205781738765,"4 N 3",2,2,NA,NA,NA
4,0.366256870912258,0.589671477212687,0.764532763386162,0.236960633414218,0.0876462872725218,0.494327000610484,0.546653347491774,0.784125907401738,"1 N 1",2,2,NA,NA,NA
9,5.05049058665229,0.478863682539132,0.934198009771339,1.00270161257907,1.51093492243685,2.76972747583044,0.560562953229883,2.89034071588243,"4 E 3",2,2,NA,NA,NA
3,0.13351888064766,0.469764214658195,0.493172088480722,0.366076967197178,0.283565506271542,1.17079449640868,0.704189506800825,1.4866980514148,"3 W 1",2,2,NA,NA,NA
3,0.150731056540852,0.699097087895714,0.853057324218953,0.30730446111594,0.0997998687621861,0.315056609961818,0.602964248280972,0.83524642657733,"2 E 3",2,2,NA,NA,NA
2,NA,NA,NA,0.0399251308198295,0.0127654120351023,0.150300608733217,0.611338747515646,0.367618935870809,"2 W 3",2,2,NA,NA,NA
3,0.477560086749243,0.2040118879391,0.626404217293367,0.342763152818412,0.176594529416957,1.99870770904944,0.567132506893338,3.05542902964811,"3 E 3",2,2,NA,NA,NA
5,0.064270741036476,0.61651817690244,0.626584644625862,0.1718590633378,0.0355838700724555,0.318227299347911,0.412942412859015,1.07679283489994,"5 E 1",2,3,NA,NA,NA
5,2.98745957635011,0.24326885161344,0.969466819141353,0.810674050010103,1.14183403742289,9.44510267910274,0.584053208205809,9.870188374249,"4 W 1",2,3,NA,NA,NA
5,1.46247480607425,0.268187815996934,0.927134983900359,0.594032439723286,0.949315393075982,8.83679048906894,0.673820070886658,10.2774152580166,"2 W 1",2,3,NA,NA,NA
8,2.98260918320233,0.216293005876284,0.935598807266322,0.273296140586029,0.211860440003359,4.75097980792348,0.405662078442108,4.95666685159812,"5 N 3",2,3,NA,NA,NA
2,NA,NA,NA,0.192974986844251,0.0595536408911974,0.413006357212702,0.570560663215371,0.725393732908628,"5 E 3",2,3,NA,NA,NA
2,NA,NA,NA,0.0161413070887361,0.00573267686866101,0.42168589597599,0.462979403054701,0.704804881793002,"1 E 3",2,3,NA,NA,NA
3,0.00575936515305368,0.215295932093567,0.955668334718484,0.193291969491504,0.0586101393724853,0.234584850736058,0.448878400140887,0.554513760205505,"2 E 1",2,3,NA,NA,NA
3,0.000134754857665016,0.442494699649568,0.619329010492264,0.272353783585805,0.0847450198340735,0.778961540175392,0.442907933578306,0.941878103489972,"3 E 1",2,3,NA,NA,NA
2,NA,NA,NA,0.299883240856419,0.0925463922931403,0.436935749840838,0.578982422583338,0.743359096225655,"2 N 1",2,3,NA,NA,NA
3,0.715591274962055,0.253412718533105,0.608668909864294,0.36252975612724,0.271835647434204,6.24475113868946,0.583546785544209,10.1125588539792,"3 N 1",2,3,NA,NA,NA
4,0.442620409362162,0.51674725212586,0.47601954586079,0.166228509003885,0.0996960496084228,2.34695456913615,0.492064189212858,7.07112238789129,"1 W 3",2,3,NA,NA,NA
4,1.43492780930043,0.304400612016225,0.88564586887604,0.417598533261344,0.389908078576577,7.41844804154734,0.549544991380859,9.04100525706347,"3 W 3",2,3,NA,NA,NA
2,NA,NA,NA,0.215254138377715,0.0664291671523048,0.417427125376207,0.574970719876068,0.717854903570553,"3 N 3",2,3,NA,NA,NA
5,0.619227061613756,0.49958113904876,0.591925678917701,0.299141217701145,0.111148475643902,2.52658849859596,0.473258171888441,5.82432144296098,"1 W 1",2,3,NA,NA,NA
2,NA,NA,NA,0.184295708026949,0.23596130561858,7.30246336530696,0.638655837535056,11.3527540141516,"5 W 3",2,3,NA,NA,NA
6,2.39999849588829,0.282632778460308,0.719975448934181,1.10450311061473,1.32678789809577,8.18642725593057,0.584760707546882,11.4824703919875,"4 E 1",2,3,NA,NA,NA
3,0.00575936515305368,0.981759936512885,0.966773317373408,0.248004723469774,0.0747999035960078,0.244142748581729,0.45390385831059,0.579272507463418,"2 N 3",2,3,NA,NA,NA
5,1.36885231725166,0.135700924447294,0.923345675473792,0.362140043779756,0.406668233972395,6.39574541215233,0.524838811535307,7.37487240724474,"5 W 1",2,3,NA,NA,NA
2,NA,NA,NA,0.306964488635643,0.0947317226004608,0.43908609417382,0.57036091141625,0.73921672561646,"1 E 1",2,3,NA,NA,NA
2,NA,NA,NA,0.0889636069747354,0.00806801715244652,0.0128886546221322,0.578473726844704,0.0826033911926465,"4 N 1",2,3,NA,NA,NA
3,0.0179321105906714,0.220283768291111,0.930570817488964,0.0890272503229487,0.0167231070842618,0.354969216945203,0.468393436252414,1.19494325665869,"5 N 1",2,3,NA,NA,NA
2,NA,NA,NA,0.220826228777775,0.0681487592928462,0.417016959624643,0.572022223702401,0.724619127103721,"4 N 3",2,3,NA,NA,NA
4,0.0936024954757013,0.409299044783466,0.636628819070476,0.199594283772823,0.0647114151482569,0.874379535902231,0.396888284569055,1.253636989184,"1 N 1",2,3,NA,NA,NA
9,4.28715664632354,0.425315315571827,0.976646506859693,1.00761382538496,1.50563396606461,9.48208392979421,0.503623530157875,10.2438742318529,"4 E 3",2,3,NA,NA,NA
3,0.63692196661356,0.324329504552954,0.617075583888405,0.451447428660808,0.455710739466967,5.63372637673743,0.644677348577433,9.80613379592412,"3 W 1",2,3,NA,NA,NA
3,0.00575936515305368,0.790608173028841,0.988945725210932,0.291839627389393,0.0896429853716598,0.249148125259868,0.450221844896284,0.56814613528271,"2 E 3",2,3,NA,NA,NA
2,NA,NA,NA,0.0385358689318189,0.0118924806645953,0.339231740258851,0.484387361662189,0.613439155680793,"2 W 3",2,3,NA,NA,NA
3,0.639434170061968,0.212643653610283,0.63357494283067,0.328995422865335,0.155035182064724,6.58526841018661,0.560021029533499,8.09181069590529,"3 E 3",2,3,NA,NA,NA
5,0.207182088179291,0.717982015658468,0.387578487206575,0.315211414219903,0.13161712543057,0.31389035114973,0.499188036961459,0.548029599570797,"5 E 1",2,4,NA,NA,NA
