"SR","FRic","FEve","FDiv","FDis","RaoQ","kde.alpha","kde.evenness","kde.dispersion","sev.blueplots","n_trait","traits","mean_cor","min_cor","max_cor"
5,0.117755688419816,0.607054806470452,0.606918695392862,0.187074903640413,0.0393781010475293,0.0259222994637793,0.715247624802293,0.0867481088796182,"5 E 1",2,1,NA,NA,NA
5,3.09975320769389,0.556723304129118,0.953415331958002,0.606571398655276,0.688773453752748,0.528765273590471,0.522452613952179,0.407720599662518,"4 W 1",2,1,NA,NA,NA
5,1.18392750488944,0.320465748616376,0.971342571766262,0.452712177914566,0.62075854681298,0.585305371205721,0.63410951173024,0.439436181569853,"2 W 1",2,1,NA,NA,NA
8,5.17240729590863,0.351596590548858,0.962193475264109,0.299610767746104,0.247615076818847,0.439466490156346,0.329333210311274,0.341133942137815,"5 N 3",2,1,NA,NA,NA
2,NA,NA,NA,0.262804452779243,0.11045152498862,0.0815374282354936,0.563332883311119,0.177876662772493,"5 E 3",2,1,NA,NA,NA
2,NA,NA,NA,0.0169148351703873,0.00629528799441959,0.0039453153225607,0.59778411484503,0.140414383150134,"1 E 3",2,1,NA,NA,NA
3,0.1092116743651,0.536055078960649,0.682657058296228,0.266904112410878,0.112338286571569,0.0731592255539366,0.518222751534755,0.153958503986181,"2 E 1",2,1,NA,NA,NA
3,0.127005748106918,0.539310681925855,0.665101673624005,0.370602616400519,0.156559197717533,0.0878510129315124,0.50050205363058,0.216464081435798,"3 E 1",2,1,NA,NA,NA
2,NA,NA,NA,0.408398271194312,0.171641733536451,0.0869686230083365,0.572050354561041,0.188586936790212,"2 N 1",2,1,NA,NA,NA
3,0.665286675086589,0.468137714672799,0.647327618864255,0.444193560400446,0.249104879735919,0.376415883998741,0.585297491417207,0.341192785477935,"3 N 1",2,1,NA,NA,NA
4,0.435599430443488,0.442224683430043,0.847516989377108,0.365738517512015,0.170269033553908,0.123540988130772,0.497629570410043,0.185130613747908,"1 W 3",2,1,NA,NA,NA
4,1.11196414967899,0.23904442518941,0.75672672576411,0.502360338274169,0.388197987111552,0.622961725583068,0.542740748468473,0.408764927339962,"3 W 3",2,1,NA,NA,NA
2,NA,NA,NA,0.293145484655377,0.123203261897972,0.0821952270766759,0.563849371991842,0.177713198485535,"3 N 3",2,1,NA,NA,NA
5,0.544811104808588,0.152659671113917,0.884339094673582,0.427240967984942,0.188398830622326,0.113047953835747,0.474093642750285,0.17952789009155,"1 W 1",2,1,NA,NA,NA
