"FRich","m","sev.blueplots","n_trait","traits","SR"
0.00161080951859868,2,"5 E 1",4,1,5
0.184649794768404,2,"4 W 1",4,1,5
0.0567513387219218,2,"2 W 1",4,1,5
0.0866930803856779,2,"5 N 3",4,1,8
0.000247936814286423,2,"2 E 1",4,1,3
0.00091455317388873,2,"3 E 1",4,1,3
0.0350361387842476,2,"3 N 1",4,1,3
0.0316556045700326,2,"1 W 3",4,1,4
0.0823521496245139,2,"3 W 3",4,1,4
0.0316556045700326,2,"1 W 1",4,1,5
0.0727893140996281,2,"4 E 1",4,1,6
0.000247936814286423,2,"2 N 3",4,1,3
0.099200605692569,2,"5 W 1",4,1,5
0.000201220490859528,2,"5 N 1",4,1,3
0.00685302060047271,2,"1 N 1",4,1,4
0.24940225782911,2,"4 E 3",4,1,9
0.0305716723761352,2,"3 W 1",4,1,3
0.000247936814286423,2,"2 E 3",4,1,3
0.0322426428318229,2,"3 E 3",4,1,3
0.00161080951859868,3,"5 E 1",4,1,5
0.184649794768404,3,"4 W 1",4,1,5
0.0567513387219218,3,"2 W 1",4,1,5
0.0866930803856779,3,"5 N 3",4,1,8
0.000247936814286423,3,"2 E 1",4,1,3
0.00091455317388873,3,"3 E 1",4,1,3
0.0350361387842476,3,"3 N 1",4,1,3
0.0316556045700326,3,"1 W 3",4,1,4
0.0823521496245139,3,"3 W 3",4,1,4
0.0316556045700326,3,"1 W 1",4,1,5
0.0727893140996281,3,"4 E 1",4,1,6
0.000247936814286423,3,"2 N 3",4,1,3
0.099200605692569,3,"5 W 1",4,1,5
0.000201220490859528,3,"5 N 1",4,1,3
0.00685302060047271,3,"1 N 1",4,1,4
0.24940225782911,3,"4 E 3",4,1,9
0.0305716723761352,3,"3 W 1",4,1,3
0.000247936814286423,3,"2 E 3",4,1,3
0.0322426428318229,3,"3 E 3",4,1,3
0.00161080951859868,4,"5 E 1",4,1,5
0.184649794768404,4,"4 W 1",4,1,5
0.0567513387219218,4,"2 W 1",4,1,5
0.0866930803856779,4,"5 N 3",4,1,8
0.000247936814286423,4,"2 E 1",4,1,3
0.00091455317388873,4,"3 E 1",4,1,3
0.0350361387842476,4,"3 N 1",4,1,3
0.0316556045700326,4,"1 W 3",4,1,4
0.0823521496245139,4,"3 W 3",4,1,4
0.0316556045700326,4,"1 W 1",4,1,5
0.0727893140996281,4,"4 E 1",4,1,6
0.000247936814286423,4,"2 N 3",4,1,3
0.099200605692569,4,"5 W 1",4,1,5
0.000201220490859528,4,"5 N 1",4,1,3
0.00685302060047271,4,"1 N 1",4,1,4
0.24940225782911,4,"4 E 3",4,1,9
0.0305716723761352,4,"3 W 1",4,1,3
0.000247936814286423,4,"2 E 3",4,1,3
0.0322426428318229,4,"3 E 3",4,1,3
0.00247157025190122,2,"5 E 1",4,2,5
0.118690143069735,2,"4 W 1",4,2,5
0.0631031841247868,2,"2 W 1",4,2,5
0.133946927615888,2,"5 N 3",4,2,8
0.000535651492077585,2,"2 E 1",4,2,3
0.00181404058407022,2,"3 E 1",4,2,3
0.0233634293626053,2,"3 N 1",4,2,3
0.0175741040986305,2,"1 W 3",4,2,4
0.0321984589316023,2,"3 W 3",4,2,4
0.0185893346467601,2,"1 W 1",4,2,5
0.0591254344770355,2,"4 E 1",4,2,6
0.000535651492077585,2,"2 N 3",4,2,3
0.100519746472376,2,"5 W 1",4,2,5
0.00047957905605207,2,"5 N 1",4,2,3
