sp_name,sp_num,sp_code,site
Aristida_congesta,10,ARICON,kruger
Bothriochloa_radicans,1,BOTRAD,kruger
Cenchrus_ciliaris,2,CENCIL,kruger
Chloris_roxburghiana,205,CHLROX,kruger
Chloris_virgata,11,CHLVIR,kruger
Dactyloctenium_aegyptium,12,DACAEG,kruger
Digitaria_eriantha,3,DIGERI,kruger
Enneapogon_cenchroides,13,ENNCEN,kruger
Eragrostis_lehmanniana,17,ERALEH,kruger
Eragrostis_nindensis,14,ERANIN,kruger
Eragrostis_sp,16,ERASP,kruger
Eragrostis_superba,15,ERASUP,kruger
Grass_unknown,236,GRAUNK,kruger
Heteropogon_contortus,19,HETCON,kruger
Panicum_coloratum,5,PANCOL,kruger
Panicum_deustum,6,PANDEU,kruger
Panicum_maximum,7,PANMAX,kruger
Schmidtia_pappophoroides,20,SCHPAP,kruger
Setaria_incrassata,150,SETINC,kruger
Sporobolus_nitens,151,SPONIT,kruger
Themeda_triandra,4,THETRI,kruger
Tragus_berteronianus,23,TRABER,kruger
Urochloa_mosambicensis,8,UROMOS,kruger
Urochloa_panicoides,9,UROPAN,kruger
Alloteropsis_semialata,10,ALLSEM,ukulinga
Aristida_junciformis,17,ARIJUN,ukulinga
Brachiaria_serrata,24,BRASER,ukulinga
Cymbopogon_excavatus,39,CYMEXC,ukulinga
Cymbopogon_validus,40,CYMVAL,ukulinga
Diheteropogon_amplectens,43,DIHAMP,ukulinga
Elionurus_muticus,46,ELIMUT,ukulinga
Eragrostis_capensis,47,ERACAP,ukulinga
Eragrostis_curvula,48,ERACUR,ukulinga
Eragrostis_racemosa,49,ERARAC,ukulinga
Eustachys_paspaloides,52,EUSPAS,ukulinga
Heteropogon_contortus,61,HETCON,ukulinga
Hyparrhenia_hirta,63,HYPHIR,ukulinga
Melinis_nerviglumis,80,MELNER,ukulinga
Microchloa_caffra,81,MICCAF,ukulinga
Panicum_aequinerve,87,PANAEQ,ukulinga
Panicum_maximum,196,PANMAX,ukulinga
Setaria_nigrirostris,110,SETNIG,ukulinga
Setaria_pallidefusca,111,SETPAL,ukulinga
Setaria_sphacelata,112,SETSPH,ukulinga
Themeda_triandra,124,THETRI,ukulinga
Tristachya_leucothrix,130,TRILEU,ukulinga
Agropyron_smithii,1,ELYSMI,konza
Andropogon_gerardii,2,ANDGER,konza
Andropogon_scoparius,3,SCHSCO,konza
Boutleoua_curtipendula,4,BOUCUR,konza
Bouteloua_gracilis,5,BOUGRA,konza
Chloris_verticillata,8,CHLVER,konza
Elymus_canadensis,9,ELYCAN,konza
Eragrostis_spectabilis,11,ERASPE,konza
Koeleria_pyrimidata,12,KOEPYR,konza
Muhlenbergia_cuspidata,13,MUHCUS,konza
Dichanthelium_oligosanthes,14,DICOLI,konza
Panicum_virgatum,15,PANVIR,konza
Dichanthelium_acuminatum,16,DICACU,konza
Poa_pratensis,17,POAPRA,konza
Sorghastrum_nutans,18,SORNUT,konza
Sphenopholis_obtusata,20,SPHOBT,konza
Sporobolus_asper,21,SPOASP,konza
Sporobolus_heterolepis,23,SPOHET,konza
Aristida_oligantha,24,ARIOLI,konza
Bromus_japonicus,25,BROJAP,konza
Festuca_octoflora,27,FESOCT,konza
Hordeum_pusillum,28,HORPUS,konza
Schedonnardus_paniculatus,30,SCHPAN,konza
Agrostis_hyemalis,150,AGRHYE,konza
Bromus_inermis,178,BROINE,konza
Setaria_glauca,190,SETGLA,konza
Tridens_flavus,218,TRIFLA,konza
Panicum_sp,591,PANSP,konza
