sp_code,site,fire,trt,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13,C3_C4,Growth_form,Habit
ANDGER,konza,1,ungrazed,117,24.94,144.6635731,0.45,43.5,161.1111111,10.6261971,1.4,44.9,32.07142857,-12.1,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,93,25.356,120.9732824,0.401273885,35.9,132.962963,7.96782569,1.2,42.9,35.75,-12.2,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,132,17.419,95.65623284,0.385245902,33.1,122.5925926,7.055026029,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,111,7.194,122.7645051,0.403567447,32.8,121.4814815,6.97642196,1.2,45,37.5,-12.2,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,157,19.948,109.1844554,0.385983911,32.3,119.6296296,6.801878599,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,122,19.819,115.7651869,0.398500577,NA,NA,NA,1.2,44.8,37.33333333,-11.4,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,128,17.255,130.5219365,0.348169419,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,131,8.977,110.1472393,0.405872553,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,123,18.43,114.1883519,0.341105016,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,1,ungrazed,127,29.821,103.5451389,0.382694167,NA,NA,NA,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,136,41.505,140.420501,0.387399834,NA,NA,NA,1.4,44.2,31.57142857,-11.8,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,177,33.632,134.4742103,0.336212935,43.5,161.1111111,10.6261971,1,45.1,45.1,-12.2,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,179,42.046,137.1597962,0.359747312,36.8,136.2962963,8.268966946,NA,NA,NA,NA,c4,rhizomatous,p
ANDGER,konza,20,ungrazed,110,13.861,108.8838347,0.399497487,39.4,145.9259259,9.16048221,1.1,44.1,40.09090909,-12.4,c4,rhizomatous,p
