year,season,date,site,tmnt,kartez,obs,ccount,cover,height,live_weight,Dead_Weight,Book,Comments
1999,1,2/4/99,C,C,ARDI5,1,1,0.1,14,0.04,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,2,1,0.1,14,0.06,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,3,1,0.1,21,0.1,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,4,1,0.25,20,0.37,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,5,1,0.25,20,0.29,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,6,1,0.25,18,0.27,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,7,1,0.5,24,1,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,8,1,0.5,27,0.71,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,9,1,0.5,20,0.58,-888,99-1,NA
1999,1,2/4/99,C,C,ARDI5,10,1,0.5,30,0.67,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,1,1,0.25,16,0.42,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,2,1,0.25,12,0.63,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,3,1,0.5,17,1.22,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,4,1,0.5,18,1.05,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,5,1,1,22,1.78,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,6,1,2,24,3.06,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,7,1,3,23,5.83,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,8,1,4,21,7.01,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,9,1,5,24,7.32,-888,99-1,NA
1999,1,2/4/99,C,C,BOER4,10,1,6,24,8.95,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,1,1,0.1,2,0.1,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,2,1,0.1,3,0.12,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,3,1,0.1,2,0.12,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,4,1,0.25,3,0.3,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,5,1,0.25,3,0.36,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,6,1,0.25,3,0.26,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,7,1,0.5,3,0.48,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,8,1,0.5,3,0.44,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,9,1,0.5,2,0.4,-888,99-1,NA
1999,1,2/4/99,C,C,CHER2,10,1,0.5,2,0.39,-888,99-1,NA
1999,1,2/4/99,C,C,DAPU7,1,1,0.01,3,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,2,1,0.01,2,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,3,1,0.1,4,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,4,1,0.1,3,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,5,1,0.25,4,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,6,1,0.25,4,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,7,1,0.5,6,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,8,1,0.5,6,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,9,1,1,7,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,DAPU7,10,1,1,5,-888,-888,99-1,NO_GREEN
1999,1,2/4/99,C,C,GUSA2,1,1,0.01,4,0.09,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,2,1,0.01,5,0.13,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,3,1,0.1,7,0.27,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,4,1,0.1,8,0.32,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,5,1,0.25,7,0.28,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,6,1,0.25,7,0.37,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,7,1,0.5,9,1.19,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,8,1,1,9,4.56,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,9,1,2,12,8.08,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,10,1,3,19,12.99,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,11,1,4,19,17.72,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,12,1,5,20,31.62,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,13,1,6,20,26.33,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,14,1,7,26,39.37,-888,99-1,NA
1999,1,2/4/99,C,C,GUSA2,15,1,8,28,53.84,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,1,1,0.25,5,0.02,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,2,1,0.25,5,0.05,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,3,1,0.5,5,0.02,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,4,1,0.5,4,0.1,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,5,1,1,8,0.18,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,6,1,1,8,0.15,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,7,1,1,10,0.2,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,8,1,2,12,0.24,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,9,1,2,13,0.22,-888,99-1,NA
1999,1,2/4/99,C,C,PLJA,10,1,2,14,0.26,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,1,1,0.5,14,1.6,-888,99-1,NA
1999,1,2/4/99,C,C,LATR2,2,1,0.5,14,1.05,-888,99-1,NA
