sp_code,site,C3_C4,Growth_form,Habit,height,leaf_area,SLA,LDMC,stom_length,stom_den,SPI,N,C,CN,C13
ANDGER,konza,c4,rhizomatous,p,157,18.9159,116.7409902,0.390241288,35.52,131.5555556,7.885469876,1.125,44.225,40.06558442,-12.075
BOUCUR,konza,c4,rhizomatous,p,52,6.62945,138.1601971,0.47477967,25.764,98.05891756,4.988882454,1.245,38.955,31.50505872,-13.5575
BOUGRA,konza,c4,caespitose,p,54,1.7987,137.6804018,0.498429132,23.18,85.85185185,4.145307032,1.218,42.542,35.80288689,-14.126
BROINE,konza,c3,rhizomatous,p,128,8.84555,124.5232224,0.417236654,43.4125,70.13327949,4.637469459,1.626,41.114,25.61304979,-28.07
BROJAP,konza,c3,rhizomatous,p,54,2.1907,301.0450706,0.335045522,35.88,59.40397351,3.562523216,1.664,43.328,28.78659324,-28.34
ELYCAN,konza,c3,caespitose,p,81,4.6463,175.5168033,0.371227166,43.4125,70.13327949,4.637469459,1.626,41.114,25.61304979,-29.304
ELYSMI,konza,c3,caespitose,p,60,3.2662,114.498592,0.366814584,43.4125,70.13327949,4.637469459,1.664,43.328,28.78659324,-30.13
ERASPE,konza,c4,caespitose,p,68,9.502675,160.0932491,0.417236654,25.78,95.48148147,4.856615807,1.044,42.514,41.82256921,-12.52
KOEPYR,konza,c3,caespitose,p,63,2.3512,301.278044,0.363020917,38.2975,63.40645696,3.933886465,1.754,42.402,24.39081266,-28.716
MUHPAN,konza,c4,caespitose,p,21.7,2.442,216.1148587,0.859491982,19.88,73.62962963,3.311338032,1.954,41.242,21.16371075,-13.568
MUHRAC,konza,c4,rhizomatous,p,57,0.129333333,109.4642857,0.49684719,14.15,52.40740741,1.972221679,1.1,44.13333333,40.31717172,-14.56666667
PANOLI,konza,c3,caespitose,p,60.8,3.134733333,223.4111974,0.31288265,36.55,135.3703704,8.216407936,1.48,41.21,28.65853041,-28.34
PANVIR,konza,c4,rhizomatous,p,134,19.673985,96.13932275,0.490964316,37.21111111,137.81893,8.435936747,1.194,44.164,37.78239569,-12.396
POAPRA,konza,c3,rhizomatous,p,69,4.7985,99.1446372,0.404892998,17.8,65.92592593,2.794568321,1.55,43.22,27.96203369,-25.924
SCHSCO,konza,c4,rhizomatous,p,113,6.4667,148.5229068,0.6252623,28.16,104.2962963,5.547369313,0.875,43.8,50.94,-12.4
SETVIR,konza,c4,caespitose,a,71,18.94885,260.1270718,0.343844334,27.5,101.8518519,5.373575933,1.246,39.838,32.47195644,-12.234
SORNUT,konza,c4,rhizomatous,p,130,18.4795,101.3442,0.402930881,31.54,116.8148148,6.566650862,1.074,41.014,41.25803427,-11.464
SPOASP,konza,c4,rhizomatous,p,110,9.2072,71.11055564,0.463809313,30.96666667,114.691358,6.392012889,0.856,43.994,52.47646925,-12.382
SPOCRY,konza,c4,caespitose,p,65,3.903,135.459812,0.444448694,25.68,95.1111111,4.834000137,1.315,45.2925,35.72395426,-14.6
SPOHET,konza,c4,caespitose,p,71,6.9403,84.91275811,0.495635454,23.975,88.7962963,4.39335709,1.096,45.014,42.96844008,-13.576
TRIFLA,konza,c4,caespitose,p,135,28.32244444,200.0175939,0.411965678,27.06,100.2222222,5.228826026,1.66,42.44,26.01905216,-13.4
